strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,1.0,CCCN1CCc2c(OC)cccc2C1CNC1CC1
best_candidate,2,8,2,0,4,1.0,NCCN(CCNc1ccc(Br)cc1O)CCc1c[nH]c2ccccc12
best_candidate,3,12,3,0,4,1.0,Oc1ccc(CCNCc2c[nH]c3cc(Br)ccc23)cc1
best_candidate,4,16,4,0,4,1.0,COc1cccc2c1CCN(Cc1c[nH]c3ccc(Br)cc13)C2CN1CCCCC1
best_candidate,5,20,5,0,4,1.0,CCC1c2cccc(Br)c2CCN1CCCNCCc1c[nH]c2ccc(O)cc12
best_candidate,6,24,6,0,4,1.0,Ic1ccc2[nH]cc(CN3CCC(NCCc4ccccc4)CC3)c2c1
best_candidate,7,28,7,0,4,1.0,CCC1c2cccc3c2C(CN1C1CC1)NCC3
best_candidate,8,32,8,0,4,1.0,COc1cccc2c1CCNC2CN(CCCN)C1CC1
best_candidate,9,36,9,0,4,1.0,C=CCN(CCNCc1c[nH]c2ccc(F)cc12)c1ccccc1CCN
best_candidate,10,40,10,0,4,1.0,Brc1ccc(N(CCNCCc2c[nH]c3ccccc23)CC2CCN2)cc1
best_candidate,11,43,11,0,3,1.0,CCCN1CCCC(NCCc2ccccc2OC)C1
best_candidate,12,47,12,0,4,1.0,COc1cccc2c1CCN(CCCNC1CC1)C2c1c[nH]c2ccc(F)cc12
best_candidate,13,50,13,0,3,1.0,COc1ccccc1CCNCC1CCCN1C1CNC1
best_candidate,14,54,14,0,4,1.0,Oc1cc(Br)ccc1NCCN1CCCC(NCCc2c[nH]c3ccccc23)C1
best_candidate,15,58,15,0,4,1.0,CCCN(CCNCCc1ccccc1OC)C1CC1
best_candidate,16,62,16,0,4,1.0,O=CCN(CC1CCN1Cc1c[nH]c2ccc(F)cc12)c1ccccc1O
best_candidate,17,66,17,0,4,1.0,Oc1ccccc1NCCN(CC1CCN1)C1CC1
best_candidate,18,70,18,0,4,1.0,CCCN1CCCC1CN1CCc2c(OC)cccc2C1c1c[nH]c2cc(Br)ccc12
best_candidate,19,74,19,0,4,1.0,COc1cccc2c1CCNC2CN(CC1CCCN1)c1cc(F)ccc1O
best_candidate,20,78,20,0,4,1.0,CN(CCN(CCCN)C1CC1)c1ccc(O)c(N)c1
best_candidate,21,82,21,0,4,1.0,Oc1ccc(F)cc1NCCN(CCc1c[nH]c2ccccc12)CC1CCN1
best_candidate,22,86,22,0,4,1.0,N#Cc1ccc(O)c(N(CCNCC2CCN2)Cc2c[nH]c3ccc(F)cc23)c1
best_candidate,23,89,23,0,3,1.0,Fc1ccc(CNCCCNCCc2c[nH]c3ccccc23)cc1
best_candidate,24,92,24,0,3,1.0,COc1ccccc1CCNC1CCCN(C2CNC2)C1
best_candidate,25,96,25,0,4,1.0,CCC1c2cccc(OC)c2CCN1C1CCN(Cc2c[nH]c3cc(Br)ccc23)CC1
best_candidate,26,99,26,0,3,1.0,c1ccc2c(CCNCCN3CCCCC3)c[nH]c2c1
best_candidate,27,103,27,0,4,1.0,COc1ccccc1CCN(CC1CCCN1Cc1c[nH]c2cc(Br)ccc12)C1CNC1
best_candidate,28,107,28,0,4,1.0,COc1ccccc1CCN(CCCNc1cc(F)ccc1O)C1CNC1
best_candidate,29,111,29,0,4,1.0,Oc1ccc(F)cc1N(CCN1CCCCC1)Cc1c[nH]c2cc(Br)ccc12
best_candidate,30,115,30,0,4,1.0,C=CC1c2cccc(OC)c2CCN1CC1CCN1Cc1c[nH]c2ccc(Br)cc12
best_candidate,31,119,31,0,4,1.0,COc1ccccc1CCN(CCN)C1CCN(Cc2c[nH]c3ccc(Br)cc23)CC1
best_candidate,32,123,32,0,4,1.0,COc1ccccc1CCNCC1CCN1CCNc1cc(F)ccc1O
best_candidate,33,127,33,0,4,1.0,CCC(CN1CCCCC1)N(Cc1c[nH]c2cc(Br)ccc12)c1ccccc1CCN
best_candidate,34,129,34,0,2,1.0,O=C(O)C1CCCN1Cc1c[nH]c2ccc(Br)cc12
best_candidate,35,133,35,0,4,1.0,COc1ccccc1CCNCCCN(Cc1c[nH]c2ccc(Br)cc12)C1CCC1
best_candidate,36,137,36,0,4,1.0,Oc1ccc(Br)cc1NCC1c2ccccc2CCN1C1CNC1
best_candidate,37,141,37,0,4,1.0,C=CC1c2cccc(OC)c2CCN1CCCNCc1c[nH]c2cc(Br)ccc12
best_candidate,38,145,38,0,4,1.0,CCCN(CCCN)CCNc1cc(Br)cc(C#N)c1
best_candidate,39,149,39,0,4,1.0,COc1ccccc1CCNCCN(CC1CCN1)c1cc(F)ccc1O
best_candidate,40,153,40,0,4,1.0,c1ccc2c(c1)CCNC2CCN1CC(NC2CC2)C1
best_candidate,41,156,41,0,3,1.0,O=C1CNC1
best_candidate,42,158,42,0,2,1.0,COc1ccccc1CCN(Cc1c[nH]c2ccc(Br)cc12)CC1CCCN1C1CNC1
best_candidate,43,162,43,0,4,1.0,COc1ccccc1CCNCCCN1CC(Nc2ccc(Br)cc2O)C1
best_candidate,44,166,44,0,4,1.0,CCCN1CCCC(N2CCc3ccccc3C2c2c[nH]c3ccc(Br)cc23)C1
best_candidate,45,168,45,0,2,1.0,CCCN(CCNc1cccc2cc[nH]c12)C1CC1
best_candidate,46,172,46,0,4,1.0,CCC(N)CN(CCN1CCCCC1)c1ccccc1S
best_candidate,47,176,47,0,4,1.0,Fc1ccc2[nH]cc(C3c4ccccc4CCN3CCCNC3CC3)c2c1
best_candidate,48,180,48,0,4,1.0,O=C(O)CN(CCCNCc1cccc(Br)c1)C1CC1
best_candidate,49,183,49,0,3,1.0,COc1ccccc1CCNC1CCCN(CCCN)C1
best_candidate,50,187,50,0,4,1.0,Brc1ccc2[nH]cc(C3c4ccccc4CCN3CC3CCCN3C3CNC3)c2c1
best_candidate,51,191,51,0,4,1.0,CN(CCN1CC(=O)C1)c1cccc2c1CCNC2c1c[nH]c2cc(Br)ccc12
best_candidate,52,195,52,0,4,1.0,C=CC1c2ccccc2CCN1CC1CCCN1Cc1c[nH]c2cc(Br)ccc12
best_candidate,53,198,53,0,3,1.0,COc1ccccc1CCN
best_candidate,54,201,54,0,3,1.0,CNCCN(CCc1ccccc1OC)C1CNC1
best_candidate,55,204,55,0,3,1.0,COc1cccc2c1CCNC2CNCCc1ccccc1Br
best_candidate,56,208,56,0,4,1.0,CCCN1C(CN2CCCCC2)Cc2ccccc2C1c1c[nH]c2cc(Br)ccc12
best_candidate,57,211,57,0,3,1.0,Brc1ccc2[nH]cc(C3c4ccccc4CCN3C3CCNC3)c2c1
best_candidate,58,215,58,0,4,1.0,COc1cccc2c1CCNC2CN1CCCC(Nc2cc(Br)ccc2O)C1
best_candidate,59,219,59,0,4,1.0,CCCNCCN(c1ccc(OC)cc1N)C1CNC1
best_candidate,60,222,60,0,3,1.0,ClCC(c1ccc(Br)cc1)N(CCc1c[nH]c2ccccc12)C1CCCNC1
best_candidate,61,226,61,0,4,1.0,COc1cccc2c1CCN(CCCNC1CNC1)C2c1c[nH]c2ccc(Br)cc12
best_candidate,62,230,62,0,4,1.0,CNCCN(CC1CCN1Cc1c[nH]c2cc(Br)ccc12)c1ccc(C#N)cc1N
best_candidate,63,234,63,0,4,1.0,COc1ccccc1CCNCCN(c1ccc(Br)cc1O)C1CNC1
best_candidate,64,238,64,0,4,1.0,CCCN1CCCC1CN(Cc1c[nH]c2cc(Br)ccc12)c1ccc(Br)cc1
best_candidate,65,241,65,0,3,1.0,COc1ccccc1CCN(CCCN)CC1CCN1
best_candidate,66,245,66,0,4,1.0,CN(CCN(c1ccc(Br)cc1)C1CCCNC1)Cc1c[nH]c2ccc(Br)cc12
best_candidate,67,248,67,0,3,1.0,O=C1CCCN(CCCNCc2ccc(F)cc2)C1
best_candidate,68,251,68,0,3,1.0,C=CC=O
best_candidate,69,255,69,0,4,1.0,O=C1CCCN(CCC2c3cc(O)ccc3CCN2Cc2c[nH]c3cc(Br)ccc23)C1
best_candidate,70,259,70,0,4,1.0,COc1cccc2c1CCNC2CCN1CCC1CNc1cc(Br)ccc1O
best_candidate,71,262,71,0,3,1.0,COc1cccc2c1CCNC2CN1CCCC1CO
best_candidate,72,266,72,0,4,1.0,COc1cccc2c1CCN(Cc1ccc(F)cc1)C2CCNCCCCN
best_candidate,73,270,73,0,4,1.0,NCCc1ccccc1N(CCCN1CCCC1CO)Cc1c[nH]c2cc(Br)ccc12
best_candidate,74,274,74,0,4,1.0,COc1ccccc1CCNCC1CCN1CCCNCc1c[nH]c2ccc(Br)cc12
best_candidate,75,278,75,0,4,1.0,CCCN1CCCC(N(Cc2c[nH]c3cc(Br)ccc23)c2ccc(Br)cc2O)C1
best_candidate,76,282,76,0,4,1.0,c1ccc2c(CCNCCN(CC3CCN3)C3CC3)c[nH]c2c1
best_candidate,77,286,77,0,4,1.0,NCCCN(CCNc1ccc(Br)cc1)C1CCC1
best_candidate,78,290,78,0,4,1.0,CCCN1CCC(N2CCc3ccc(O)cc3C2c2c[nH]c3cc(Br)ccc23)CC1
best_candidate,79,294,79,0,4,1.0,O=C(O)CN(c1ccccc1CCNCc1c[nH]c2ccc(Br)cc12)C1CNC1
best_candidate,80,297,80,0,3,1.0,COc1ccccc1CCNC(CCl)c1ccc(F)cc1N(C)CC(=O)O
best_candidate,81,300,81,0,3,1.0,COc1ccccc1CCNCCNCCc1ccc(O)cc1
best_candidate,82,303,82,0,3,1.0,Oc1ccc2[nH]cc(CCNC3CCN(C(CCl)c4ccc(F)cc4)C3)c2c1
best_candidate,83,307,83,0,4,1.0,CCCNCCCN(CCc1ccccc1Br)Cc1c[nH]c2cc(Br)ccc12
best_candidate,84,310,84,0,3,1.0,CN(CCN1CCC1C(=O)O)Cc1ccc(F)cc1
best_candidate,85,313,85,0,3,1.0,Oc1ccc2[nH]cc(CCNCC3CCCN3C(CCl)c3ccc(Br)cc3)c2c1
best_candidate,86,317,86,0,4,1.0,Sc1ccc2c(C3c4cccc(Br)c4CCN3C3CCNCC3)c[nH]c2c1
best_candidate,87,321,87,0,4,1.0,NC(Cc1c[nH]c2ccccc12)CN(CCNC1CC1)c1cc(Br)ccc1O
best_candidate,88,325,88,0,4,1.0,C#CCN(CC(=O)O)c1ccc2c(C3NCCc4c(Br)cccc43)c[nH]c2c1
best_candidate,89,329,89,0,4,1.0,Oc1ccccc1N(CCN1CCCCC1)Cc1c[nH]c2cc(Br)ccc12
best_candidate,90,333,90,0,4,1.0,NC1(CN(CCNCCc2c[nH]c3ccccc23)c2cccnc2Br)CCC1
best_candidate,91,337,91,0,4,1.0,COc1cccc2c1CCNC2CN1CCC1CNc1ccc(Br)cc1O
best_candidate,92,341,92,0,4,1.0,c1ccc2c(CCN(CCNC3CCC3)C3CNC3)c[nH]c2c1
best_candidate,93,344,93,0,3,1.0,Brc1ccc2[nH]cc(CNC(CN3CCCCC3)c3ccccc3)c2c1
best_candidate,94,348,94,0,4,1.0,CCCN(CCCN)CCNc1cccc(Br)c1O
best_candidate,95,352,95,0,4,1.0,COc1cccc2c1CCNC2CCN1CC(NC2CC2)C1
best_candidate,96,355,96,0,3,1.0,Oc1ccc2c(c1)C(CCNC1CC1)NCC2
best_candidate,97,359,97,0,4,1.0,Sc1ccccc1N(Cc1c[nH]c2cc(Br)ccc12)CC1CCCN1CC1CCN1
best_candidate,98,362,98,0,3,1.0,Oc1ccc(CCNC2CN(C3CCCNC3)C2)cc1
best_candidate,99,366,99,0,4,1.0,CCC(N)CN(CCNc1cc(Br)cc(C#N)c1)CCc1c[nH]c2ccccc12
best_candidate,100,369,100,0,3,1.0,O=CCCN(CCC(=O)O)C(CCl)c1ccc(Br)cc1
best_candidate,101,373,101,0,4,1.0,CC(O)CN(CCC1NCCc2ccccc21)C1CC1
best_candidate,102,376,102,0,3,1.0,NCCN1CCCC1CNCCc1ccc(O)cc1
best_candidate,103,379,103,0,3,1.0,O=C(O)c1ccc(F)cc1
