strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,8.4038,c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1
best_candidate,2,8,2,0,4,8.3772,NCc1cn(Cc2ccc(-c3nc4ccc(C(=O)NC5CC5)cc4o3)cc2)c2ccccc12
best_candidate,3,12,3,0,4,8.3664,O=C(O)c1ccc2nc(C3CNC3)[nH]c2c1
best_candidate,4,16,4,0,4,8.3633,c1nc(-c2ccc(NCc3ccc4[nH]c(C5CNC5)nc4c3)nc2)c[nH]1
best_candidate,5,20,5,0,4,8.3585,C#Cc1cc(NCc2ccc3[nH]c(C4CNC4)nc3c2)[nH]n1
best_candidate,6,24,6,0,4,8.3515,O=C(Nc1ccc(Br)cc1)C1CNC1
best_candidate,7,28,7,0,4,8.3429,O=C(O)c1ccc2oc(-c3cccc(C(=O)NC4CC4)c3)nc2c1
best_candidate,8,32,8,0,4,8.3404,NCc1cn(CC2CC2)c2ccccc12
best_candidate,9,36,9,0,4,8.329,O=C(O)c1ccc2nc(C3CNC3)oc2c1
best_candidate,10,38,10,0,2,8.3277,c1ccc2c(CNc3ccc(-c4cn(CC5CC5)nn4)cc3)c[nH]c2c1
best_candidate,11,42,11,0,4,8.3123,O=C(NC1CC1)c1ccc(CNc2ccc(-c3c[nH]cn3)cc2)cc1
best_candidate,12,46,12,0,4,8.3087,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1
best_candidate,13,48,13,0,2,8.3047,O=Cc1ccc(C2=NCCc3ccccc32)cc1
best_candidate,14,52,14,0,4,8.3036,N#Cc1ccc(CNc2ccc(-c3cn(CC4CC4)nn3)cc2)cn1
best_candidate,15,55,15,0,3,8.3032,BrCc1ccc(-c2nnn(CC3CC3)n2)cc1
best_candidate,16,58,16,0,3,8.2981,O=C(Nc1cc(Br)n[nH]1)C1CNC1
