strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
hub_batching,4.0,0.3,76,296,3.8947,99855,reactions,False,77,301,26.36
best_candidate,4.0,0.3,60,300,5.0,0,reactions,False,60,300,10.2
hub_batching,4.0,0.35,122,298,2.4426,76650,reactions,False,123,303,0.6
best_candidate,4.0,0.35,60,300,5.0,0,reactions,False,60,300,3.94
hub_batching,4.0,0.4,180,300,1.6667,47040,reactions,False,180,300,0.49
best_candidate,4.0,0.4,60,300,5.0,0,reactions,False,60,300,6.74
hub_batching,4.0,0.45,220,300,1.3636,31605,reactions,False,220,300,0.44
best_candidate,4.0,0.45,60,300,5.0,0,reactions,False,60,300,5.68
hub_batching,4.0,0.5,252,300,1.1905,19845,reactions,False,252,300,0.31
best_candidate,4.0,0.5,60,300,5.0,0,reactions,False,60,300,4.28
hub_batching,4.0,0.55,272,300,1.1029,11445,reactions,False,272,300,0.26
best_candidate,4.0,0.55,60,300,5.0,0,reactions,False,60,300,3.21
hub_batching,4.0,0.6,284,300,1.0563,6405,reactions,False,284,300,0.19
best_candidate,4.0,0.6,60,300,5.0,0,reactions,False,60,300,2.48
hub_batching,4.0,0.65,292,300,1.0274,3045,reactions,False,292,300,0.15
best_candidate,4.0,0.65,60,300,5.0,0,reactions,False,60,300,2.04
hub_batching,4.0,0.7,296,300,1.0135,1575,reactions,False,296,300,0.14
best_candidate,4.0,0.7,60,300,5.0,0,reactions,False,60,300,1.79
hub_batching,4.0,0.75,296,300,1.0135,1575,reactions,False,296,300,0.13
best_candidate,4.0,0.75,60,300,5.0,0,reactions,False,60,300,1.57
hub_batching,4.0,0.8,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,4.0,0.8,60,296,4.9333,0,reactions,False,61,301,1.43
hub_batching,4.0,0.85,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,4.0,0.85,60,296,4.9333,0,reactions,False,61,301,1.39
hub_batching,4.0,0.9,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,4.0,0.9,60,296,4.9333,0,reactions,False,61,301,1.36
hub_batching,4.5,0.3,77,297,3.8571,104895,reactions,False,78,302,2.29
best_candidate,4.5,0.3,60,300,5.0,0,reactions,False,60,300,1.27
hub_batching,4.5,0.35,122,298,2.4426,76650,reactions,False,123,303,0.57
best_candidate,4.5,0.35,60,300,5.0,0,reactions,False,60,300,3.89
hub_batching,4.5,0.4,180,300,1.6667,47040,reactions,False,180,300,0.48
best_candidate,4.5,0.4,60,300,5.0,0,reactions,False,60,300,6.75
hub_batching,4.5,0.45,216,300,1.3889,32970,reactions,False,216,300,0.42
