strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
hub_batching,4.0,0.3,84,298,3.5476,93786,reactions,False,85,302,24.42
best_candidate,4.0,0.3,76,299,3.9342,0,reactions,False,77,303,9.34
hub_batching,4.0,0.35,93,297,3.1935,76604,reactions,False,94,301,0.52
best_candidate,4.0,0.35,75,298,3.9733,0,reactions,False,76,302,3.43
hub_batching,4.0,0.4,122,299,2.4508,61131,reactions,False,123,303,0.49
best_candidate,4.0,0.4,75,298,3.9733,0,reactions,False,76,302,6.31
hub_batching,4.0,0.45,149,300,2.0134,49943,reactions,False,149,300,0.47
best_candidate,4.0,0.45,75,298,3.9733,0,reactions,False,76,301,5.12
hub_batching,4.0,0.5,188,300,1.5957,36342,reactions,False,188,300,0.43
best_candidate,4.0,0.5,75,298,3.9733,0,reactions,False,76,302,3.32
hub_batching,4.0,0.55,229,300,1.31,24871,reactions,False,229,300,0.4
best_candidate,4.0,0.55,75,298,3.9733,0,reactions,False,76,302,2.52
hub_batching,4.0,0.6,261,300,1.1494,11600,reactions,False,261,300,0.26
best_candidate,4.0,0.6,75,297,3.96,0,reactions,False,76,301,2.05
hub_batching,4.0,0.65,284,300,1.0563,4549,reactions,False,284,300,0.17
best_candidate,4.0,0.65,76,298,3.9211,0,reactions,False,77,301,1.81
hub_batching,4.0,0.7,287,300,1.0453,2358,reactions,False,287,300,0.15
best_candidate,4.0,0.7,77,299,3.8831,0,reactions,False,78,303,1.64
hub_batching,4.0,0.75,291,300,1.0309,1410,reactions,False,291,300,0.15
best_candidate,4.0,0.75,77,299,3.8831,0,reactions,False,78,303,1.51
hub_batching,4.0,0.8,291,300,1.0309,1410,reactions,False,291,300,0.14
best_candidate,4.0,0.8,77,299,3.8831,0,reactions,False,78,303,1.41
hub_batching,4.0,0.85,291,300,1.0309,1410,reactions,False,291,300,0.15
best_candidate,4.0,0.85,77,299,3.8831,0,reactions,False,78,303,1.38
hub_batching,4.0,0.9,294,300,1.0204,314,reactions,False,294,300,0.15
best_candidate,4.0,0.9,77,299,3.8831,0,reactions,False,78,303,1.32
hub_batching,4.5,0.3,83,297,3.5783,93786,reactions,False,84,301,0.54
best_candidate,4.5,0.3,76,299,3.9342,0,reactions,False,77,303,0.63
hub_batching,4.5,0.35,92,299,3.25,78966,reactions,False,93,303,0.48
best_candidate,4.5,0.35,75,298,3.9733,0,reactions,False,76,302,1.45
hub_batching,4.5,0.4,121,298,2.4628,61131,reactions,False,122,302,0.46
best_candidate,4.5,0.4,75,298,3.9733,0,reactions,False,76,302,3.04
hub_batching,4.5,0.45,147,298,2.0272,49943,reactions,False,148,302,0.44
best_candidate,4.5,0.45,75,298,3.9733,0,reactions,False,76,301,4.45
hub_batching,4.5,0.5,186,298,1.6022,36342,reactions,False,187,302,0.4
best_candidate,4.5,0.5,75,298,3.9733,0,reactions,False,76,302,3.32
hub_batching,4.5,0.55,229,300,1.31,24871,reactions,False,229,300,0.37
best_candidate,4.5,0.55,75,298,3.9733,0,reactions,False,76,302,2.52
hub_batching,4.5,0.6,260,299,1.15,11600,reactions,False,261,301,0.27
best_candidate,4.5,0.6,75,297,3.96,0,reactions,False,76,301,2.06
hub_batching,4.5,0.65,284,300,1.0563,4549,reactions,False,284,300,0.18
best_candidate,4.5,0.65,76,298,3.9211,0,reactions,False,77,301,1.8
hub_batching,4.5,0.7,287,300,1.0453,2358,reactions,False,287,300,0.15
best_candidate,4.5,0.7,77,299,3.8831,0,reactions,False,78,303,1.63
hub_batching,4.5,0.75,291,300,1.0309,1410,reactions,False,291,300,0.15
best_candidate,4.5,0.75,77,299,3.8831,0,reactions,False,78,303,1.52
hub_batching,4.5,0.8,291,300,1.0309,1410,reactions,False,291,300,0.14
best_candidate,4.5,0.8,77,299,3.8831,0,reactions,False,78,303,1.42
hub_batching,4.5,0.85,291,300,1.0309,1410,reactions,False,291,300,0.15
best_candidate,4.5,0.85,77,299,3.8831,0,reactions,False,78,303,1.36
hub_batching,4.5,0.9,294,300,1.0204,314,reactions,False,294,300,0.15
best_candidate,4.5,0.9,77,299,3.8831,0,reactions,False,78,303,1.35
hub_batching,5.0,0.3,82,297,3.622,94370,reactions,False,83,301,0.42
best_candidate,5.0,0.3,76,299,3.9342,0,reactions,False,77,303,0.25
hub_batching,5.0,0.35,90,300,3.3333,80732,reactions,False,90,300,0.38
best_candidate,5.0,0.35,75,298,3.9733,0,reactions,False,76,302,0.43
hub_batching,5.0,0.4,116,299,2.5776,62701,reactions,False,117,303,0.38
best_candidate,5.0,0.4,75,298,3.9733,0,reactions,False,76,302,0.78
hub_batching,5.0,0.45,141,298,2.1135,51814,reactions,False,142,302,0.37
best_candidate,5.0,0.45,75,298,3.9733,0,reactions,False,76,301,1.26
hub_batching,5.0,0.5,179,300,1.676,38842,reactions,False,179,300,0.34
best_candidate,5.0,0.5,75,298,3.9733,0,reactions,False,76,302,1.64
hub_batching,5.0,0.55,223,300,1.3453,26657,reactions,False,223,300,0.32
best_candidate,5.0,0.55,75,298,3.9733,0,reactions,False,76,302,1.95
hub_batching,5.0,0.6,260,300,1.1538,12074,reactions,False,260,300,0.23
best_candidate,5.0,0.6,75,297,3.96,0,reactions,False,76,301,2.06
hub_batching,5.0,0.65,275,300,1.0909,6306,reactions,False,275,300,0.19
best_candidate,5.0,0.65,76,298,3.9211,0,reactions,False,77,301,1.8
hub_batching,5.0,0.7,287,300,1.0453,2358,reactions,False,287,300,0.15
best_candidate,5.0,0.7,77,299,3.8831,0,reactions,False,78,303,1.63
hub_batching,5.0,0.75,291,300,1.0309,1410,reactions,False,291,300,0.15
best_candidate,5.0,0.75,77,299,3.8831,0,reactions,False,78,303,1.52
hub_batching,5.0,0.8,291,300,1.0309,1410,reactions,False,291,300,0.14
