strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
hub_batching,4.0,0.3,118,299,2.5339,168618,reactions,False,119,302,42.67
best_candidate,4.0,0.3,100,299,2.99,0,reactions,False,101,302,6.99
hub_batching,4.0,0.35,142,300,2.1127,122566,reactions,False,142,300,1.02
best_candidate,4.0,0.35,100,300,3.0,0,reactions,False,100,300,1.31
hub_batching,4.0,0.4,167,300,1.7964,90055,reactions,False,167,300,0.85
best_candidate,4.0,0.4,100,300,3.0,0,reactions,False,100,300,3.26
hub_batching,4.0,0.45,199,300,1.5075,67297,reactions,False,199,300,0.71
best_candidate,4.0,0.45,100,300,3.0,0,reactions,False,100,300,6.22
hub_batching,4.0,0.5,230,299,1.3,46115,reactions,False,231,302,0.67
best_candidate,4.0,0.5,100,298,2.98,0,reactions,False,101,301,5.63
hub_batching,4.0,0.55,268,299,1.1157,20993,reactions,False,269,302,0.41
best_candidate,4.0,0.55,102,298,2.9216,0,reactions,False,103,301,4.05
hub_batching,4.0,0.6,287,300,1.0453,9501,reactions,False,287,300,0.23
best_candidate,4.0,0.6,104,300,2.8846,0,reactions,False,104,300,2.98
hub_batching,4.0,0.65,297,300,1.0101,2799,reactions,False,297,300,0.13
best_candidate,4.0,0.65,106,298,2.8113,0,reactions,False,107,301,2.34
hub_batching,4.0,0.7,297,300,1.0101,2799,reactions,False,297,300,0.13
best_candidate,4.0,0.7,107,299,2.7944,0,reactions,False,108,302,1.92
hub_batching,4.0,0.75,298,300,1.0067,1104,reactions,False,298,300,0.14
best_candidate,4.0,0.75,108,299,2.7685,0,reactions,False,109,302,1.71
hub_batching,4.0,0.8,298,300,1.0067,1104,reactions,False,298,300,0.13
best_candidate,4.0,0.8,108,299,2.7685,0,reactions,False,109,302,1.53
hub_batching,4.0,0.85,298,300,1.0067,1104,reactions,False,298,300,0.13
best_candidate,4.0,0.85,107,300,2.8037,0,reactions,False,107,300,1.41
