strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
hub_batching,4.0,0.3,186,300,1.6129,434514,reactions,False,186,300,17.35
best_candidate,4.0,0.3,76,298,3.9211,0,reactions,False,77,302,9.16
hub_batching,4.0,0.35,223,300,1.3453,221983,reactions,False,223,300,0.8
best_candidate,4.0,0.35,79,298,3.7722,0,reactions,False,80,302,1.17
hub_batching,4.0,0.4,257,300,1.1673,101744,reactions,False,257,300,0.39
best_candidate,4.0,0.4,81,300,3.7037,0,reactions,False,81,300,2.89
hub_batching,4.0,0.45,273,300,1.0989,33099,reactions,False,273,300,0.15
best_candidate,4.0,0.45,83,300,3.6145,0,reactions,False,83,300,5.53
hub_batching,4.0,0.5,276,300,1.087,21546,reactions,False,276,300,0.11
best_candidate,4.0,0.5,85,298,3.5059,0,reactions,False,86,302,5.07
hub_batching,4.0,0.55,276,300,1.087,12592,reactions,False,276,300,0.11
best_candidate,4.0,0.55,89,297,3.3371,0,reactions,False,90,301,4.09
hub_batching,4.0,0.6,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,4.0,0.6,94,298,3.1702,0,reactions,False,95,302,3.23
hub_batching,4.0,0.65,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,4.0,0.65,97,300,3.0928,0,reactions,False,97,300,2.6
hub_batching,4.0,0.7,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.0,0.7,100,300,3.0,0,reactions,False,100,300,2.16
hub_batching,4.0,0.75,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.0,0.75,100,298,2.98,0,reactions,False,101,301,1.87
hub_batching,4.0,0.8,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.0,0.8,100,300,3.0,0,reactions,False,100,300,1.61
hub_batching,4.0,0.85,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.0,0.85,101,300,2.9703,0,reactions,False,101,300,1.41
hub_batching,4.0,0.9,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.0,0.9,100,298,2.98,0,reactions,False,101,301,1.33
hub_batching,4.5,0.3,177,300,1.6949,436910,reactions,False,177,300,1.84
best_candidate,4.5,0.3,76,298,3.9211,0,reactions,False,77,302,0.51
hub_batching,4.5,0.35,216,300,1.3889,238418,reactions,False,216,300,0.71
best_candidate,4.5,0.35,79,298,3.7722,0,reactions,False,80,302,1.17
hub_batching,4.5,0.4,253,300,1.1858,126810,reactions,False,253,300,0.42
best_candidate,4.5,0.4,81,300,3.7037,0,reactions,False,81,300,2.88
hub_batching,4.5,0.45,271,300,1.107,48875,reactions,False,271,300,0.18
best_candidate,4.5,0.45,83,300,3.6145,0,reactions,False,83,300,5.54
hub_batching,4.5,0.5,276,300,1.087,21546,reactions,False,276,300,0.11
best_candidate,4.5,0.5,85,298,3.5059,0,reactions,False,86,302,5.08
hub_batching,4.5,0.55,276,300,1.087,21546,reactions,False,276,300,0.12
best_candidate,4.5,0.55,89,297,3.3371,0,reactions,False,90,301,4.09
hub_batching,4.5,0.6,276,300,1.087,12592,reactions,False,276,300,0.1
best_candidate,4.5,0.6,94,298,3.1702,0,reactions,False,95,302,3.31
hub_batching,4.5,0.65,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,4.5,0.65,97,300,3.0928,0,reactions,False,97,300,2.61
hub_batching,4.5,0.7,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.5,0.7,100,300,3.0,0,reactions,False,100,300,2.17
hub_batching,4.5,0.75,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.5,0.75,100,298,2.98,0,reactions,False,101,301,1.87
hub_batching,4.5,0.8,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.5,0.8,100,300,3.0,0,reactions,False,100,300,1.62
hub_batching,4.5,0.85,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.5,0.85,101,300,2.9703,0,reactions,False,101,300,1.42
hub_batching,4.5,0.9,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,4.5,0.9,100,298,2.98,0,reactions,False,101,301,1.34
hub_batching,5.0,0.3,167,299,1.7904,463084,reactions,False,168,302,4.0
best_candidate,5.0,0.3,76,298,3.9211,0,reactions,False,77,302,0.5
hub_batching,5.0,0.35,204,299,1.4657,267920,reactions,False,205,302,0.68
best_candidate,5.0,0.35,79,298,3.7722,0,reactions,False,80,302,1.15
hub_batching,5.0,0.4,246,300,1.2195,146284,reactions,False,246,300,0.41
best_candidate,5.0,0.4,81,300,3.7037,0,reactions,False,81,300,2.85
hub_batching,5.0,0.45,268,300,1.1194,60829,reactions,False,268,300,0.19
best_candidate,5.0,0.45,83,300,3.6145,0,reactions,False,83,300,5.55
hub_batching,5.0,0.5,274,300,1.0949,30963,reactions,False,274,300,0.15
best_candidate,5.0,0.5,85,298,3.5059,0,reactions,False,86,302,5.12
hub_batching,5.0,0.55,276,300,1.087,21546,reactions,False,276,300,0.11
best_candidate,5.0,0.55,89,297,3.3371,0,reactions,False,90,301,4.1
hub_batching,5.0,0.6,276,300,1.087,12592,reactions,False,276,300,0.1
best_candidate,5.0,0.6,94,298,3.1702,0,reactions,False,95,302,3.23
hub_batching,5.0,0.65,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,5.0,0.65,97,300,3.0928,0,reactions,False,97,300,2.62
hub_batching,5.0,0.7,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.0,0.7,100,300,3.0,0,reactions,False,100,300,2.15
hub_batching,5.0,0.75,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.0,0.75,100,298,2.98,0,reactions,False,101,301,1.87
hub_batching,5.0,0.8,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.0,0.8,100,300,3.0,0,reactions,False,100,300,1.62
hub_batching,5.0,0.85,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.0,0.85,101,300,2.9703,0,reactions,False,101,300,1.41
hub_batching,5.0,0.9,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.0,0.9,100,298,2.98,0,reactions,False,101,301,1.34
hub_batching,5.5,0.3,157,300,1.9108,498316,reactions,False,157,300,3.36
best_candidate,5.5,0.3,76,298,3.9211,0,reactions,False,77,302,0.49
hub_batching,5.5,0.35,196,299,1.5255,300082,reactions,False,197,303,0.63
best_candidate,5.5,0.35,79,298,3.7722,0,reactions,False,80,302,1.11
hub_batching,5.5,0.4,235,300,1.2766,184136,reactions,False,235,300,0.42
best_candidate,5.5,0.4,81,300,3.7037,0,reactions,False,81,300,2.76
hub_batching,5.5,0.45,262,300,1.145,89082,reactions,False,262,300,0.25
best_candidate,5.5,0.45,83,300,3.6145,0,reactions,False,83,300,5.54
hub_batching,5.5,0.5,271,300,1.107,48875,reactions,False,271,300,0.15
best_candidate,5.5,0.5,85,298,3.5059,0,reactions,False,86,302,5.07
hub_batching,5.5,0.55,275,300,1.0909,26500,reactions,False,275,300,0.11
best_candidate,5.5,0.55,89,297,3.3371,0,reactions,False,90,301,4.09
hub_batching,5.5,0.6,276,300,1.087,12592,reactions,False,276,300,0.1
best_candidate,5.5,0.6,94,298,3.1702,0,reactions,False,95,302,3.22
hub_batching,5.5,0.65,276,300,1.087,12592,reactions,False,276,300,0.09
best_candidate,5.5,0.65,97,300,3.0928,0,reactions,False,97,300,2.61
hub_batching,5.5,0.7,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,5.5,0.7,100,300,3.0,0,reactions,False,100,300,2.15
hub_batching,5.5,0.75,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.5,0.75,100,298,2.98,0,reactions,False,101,301,1.87
hub_batching,5.5,0.8,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.5,0.8,100,300,3.0,0,reactions,False,100,300,1.63
hub_batching,5.5,0.85,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.5,0.85,101,300,2.9703,0,reactions,False,101,300,1.41
hub_batching,5.5,0.9,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,5.5,0.9,100,298,2.98,0,reactions,False,101,301,1.33
hub_batching,6.0,0.3,150,299,1.9933,519992,reactions,False,151,303,1.88
best_candidate,6.0,0.3,76,298,3.9211,0,reactions,False,77,302,0.46
hub_batching,6.0,0.35,184,300,1.6304,334034,reactions,False,184,300,0.58
best_candidate,6.0,0.35,79,298,3.7722,0,reactions,False,80,302,1.04
hub_batching,6.0,0.4,227,298,1.3128,198565,reactions,False,228,301,0.39
best_candidate,6.0,0.4,81,300,3.7037,0,reactions,False,81,300,2.6
hub_batching,6.0,0.45,257,300,1.1673,101744,reactions,False,257,300,0.24
best_candidate,6.0,0.45,83,300,3.6145,0,reactions,False,83,300,5.24
hub_batching,6.0,0.5,268,300,1.1194,60829,reactions,False,268,300,0.16
best_candidate,6.0,0.5,85,298,3.5059,0,reactions,False,86,302,5.08
hub_batching,6.0,0.55,273,300,1.0989,33099,reactions,False,273,300,0.13
best_candidate,6.0,0.55,89,297,3.3371,0,reactions,False,90,301,4.14
hub_batching,6.0,0.6,275,300,1.0909,26500,reactions,False,275,300,0.11
best_candidate,6.0,0.6,94,298,3.1702,0,reactions,False,95,302,3.23
hub_batching,6.0,0.65,276,300,1.087,12592,reactions,False,276,300,0.09
best_candidate,6.0,0.65,97,300,3.0928,0,reactions,False,97,300,2.62
hub_batching,6.0,0.7,276,300,1.087,12592,reactions,False,276,300,0.09
best_candidate,6.0,0.7,100,300,3.0,0,reactions,False,100,300,2.16
hub_batching,6.0,0.75,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,6.0,0.75,100,298,2.98,0,reactions,False,101,301,1.87
hub_batching,6.0,0.8,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,6.0,0.8,100,300,3.0,0,reactions,False,100,300,1.63
hub_batching,6.0,0.85,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,6.0,0.85,101,300,2.9703,0,reactions,False,101,300,1.42
hub_batching,6.0,0.9,278,300,1.0791,3761,reactions,False,278,300,0.08
best_candidate,6.0,0.9,100,298,2.98,0,reactions,False,101,301,1.35
hub_batching,6.5,0.3,139,298,2.1439,634095,reactions,False,140,302,4.06
best_candidate,6.5,0.3,76,298,3.9211,0,reactions,False,77,302,0.41
hub_batching,6.5,0.35,169,300,1.7751,439092,reactions,False,169,300,0.65
best_candidate,6.5,0.35,79,298,3.7722,0,reactions,False,80,302,0.91
hub_batching,6.5,0.4,213,300,1.4085,238418,reactions,False,213,300,0.38
best_candidate,6.5,0.4,81,300,3.7037,0,reactions,False,81,300,2.27
hub_batching,6.5,0.45,246,300,1.2195,146284,reactions,False,246,300,0.27
best_candidate,6.5,0.45,83,300,3.6145,0,reactions,False,83,300,4.66
hub_batching,6.5,0.5,262,300,1.145,89082,reactions,False,262,300,0.2
best_candidate,6.5,0.5,85,298,3.5059,0,reactions,False,86,302,5.07
hub_batching,6.5,0.55,268,300,1.1194,60829,reactions,False,268,300,0.15
best_candidate,6.5,0.55,89,297,3.3371,0,reactions,False,90,301,4.12
hub_batching,6.5,0.6,272,300,1.1029,39921,reactions,False,272,300,0.13
best_candidate,6.5,0.6,94,298,3.1702,0,reactions,False,95,302,3.24
hub_batching,6.5,0.65,275,300,1.0909,26500,reactions,False,275,300,0.11
best_candidate,6.5,0.65,97,300,3.0928,0,reactions,False,97,300,2.62
hub_batching,6.5,0.7,276,300,1.087,21546,reactions,False,276,300,0.1
best_candidate,6.5,0.7,100,300,3.0,0,reactions,False,100,300,2.16
hub_batching,6.5,0.75,276,300,1.087,12592,reactions,False,276,300,0.09
best_candidate,6.5,0.75,100,298,2.98,0,reactions,False,101,301,1.87
hub_batching,6.5,0.8,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,6.5,0.8,100,300,3.0,0,reactions,False,100,300,1.62
hub_batching,6.5,0.85,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,6.5,0.85,101,300,2.9703,0,reactions,False,101,300,1.42
hub_batching,6.5,0.9,277,300,1.083,7638,reactions,False,277,300,0.09
best_candidate,6.5,0.9,100,298,2.98,0,reactions,False,101,301,1.33
hub_batching,7.0,0.3,97,239,2.4639,644759,pool_exhausted,True,97,239,1.14
best_candidate,7.0,0.3,76,298,3.9211,0,reactions,False,77,302,0.3
hub_batching,7.0,0.35,140,298,2.1286,535863,reactions,False,141,301,0.71
best_candidate,7.0,0.35,79,298,3.7722,0,reactions,False,80,302,0.62
hub_batching,7.0,0.4,178,300,1.6854,376497,reactions,False,178,300,0.48
best_candidate,7.0,0.4,81,300,3.7037,0,reactions,False,81,300,1.35
hub_batching,7.0,0.45,212,299,1.4104,238418,reactions,False,213,303,0.33
best_candidate,7.0,0.45,83,300,3.6145,0,reactions,False,83,300,3.06
hub_batching,7.0,0.5,243,299,1.2305,153644,reactions,False,244,301,0.25
best_candidate,7.0,0.5,85,298,3.5059,0,reactions,False,86,302,5.09
hub_batching,7.0,0.55,258,300,1.1628,92712,reactions,False,258,300,0.18
best_candidate,7.0,0.55,89,297,3.3371,0,reactions,False,90,301,4.11
hub_batching,7.0,0.6,264,300,1.1364,71096,reactions,False,264,300,0.16
