cell,generator,child_policy,prebuild_k,gate,tau,best_modes_at_budget,hub_modes_at_budget,best_total_modes,hub_total_modes,best_rxn_per_mode,hub_rxn_per_mode
rgfn_seh,rgfn,reward,0,7.0,0.9,10,83,10,300,4.0,1.173
rgfn_seh,rgfn,reward,0,7.0,0.85,10,81,10,300,4.0,1.203
rgfn_seh,rgfn,reward,0,7.0,0.8,10,78,10,300,4.0,1.213
rgfn_seh,rgfn,reward,0,7.0,0.75,10,72,10,300,4.0,1.243
rgfn_seh,rgfn,reward,0,7.0,0.7,10,66,10,300,4.0,1.397
rgfn_seh,rgfn,reward,0,7.0,0.65,10,62,10,300,4.0,1.77
rgfn_seh,rgfn,reward,0,7.0,0.6,9,51,9,247,4.0,2.15
rgfn_seh,rgfn,reward,0,7.0,0.55,9,39,9,180,4.0,2.561
rgfn_seh,rgfn,reward,0,7.0,0.5,9,35,9,135,4.0,2.993
rgfn_seh,rgfn,reward,0,7.0,0.45,8,30,8,106,4.0,3.425
rgfn_seh,rgfn,reward,0,7.0,0.4,7,27,7,83,4.0,3.747
rgfn_seh,rgfn,reward,0,7.0,0.35,6,26,6,62,4.0,3.871
rgfn_seh,rgfn,reward,0,7.0,0.3,5,25,5,43,4.0,3.953
scent_seh,scent,free_frag,20,7.0,0.9,28,78,300,300,2.787,1.097
scent_seh,scent,free_frag,20,7.0,0.85,28,78,300,300,2.793,1.097
scent_seh,scent,free_frag,20,7.0,0.8,28,78,300,300,2.837,1.097
scent_seh,scent,free_frag,20,7.0,0.75,27,78,300,300,2.903,1.103
scent_seh,scent,free_frag,20,7.0,0.7,28,77,300,300,2.987,1.113
scent_seh,scent,free_frag,20,7.0,0.65,29,76,300,300,3.067,1.127
scent_seh,scent,free_frag,20,7.0,0.6,29,75,300,300,3.08,1.14
scent_seh,scent,free_frag,20,7.0,0.55,28,74,300,300,3.23,1.213
scent_seh,scent,free_frag,20,7.0,0.5,28,70,300,300,3.383,1.303
scent_seh,scent,free_frag,20,7.0,0.45,27,63,300,300,3.537,1.573
scent_seh,scent,free_frag,20,7.0,0.4,26,57,300,290,3.657,1.9
scent_seh,scent,free_frag,20,7.0,0.35,25,45,300,161,3.693,2.342
scent_seh,scent,free_frag,20,7.0,0.3,25,37,300,95,3.84,2.547
rxnflow_seh,rxnflow,reward,0,7.0,0.9,36,93,174,300,2.626,1.05
rxnflow_seh,rxnflow,reward,0,7.0,0.85,36,93,171,300,2.655,1.063
rxnflow_seh,rxnflow,reward,0,7.0,0.8,35,93,164,300,2.689,1.07
rxnflow_seh,rxnflow,reward,0,7.0,0.75,35,91,159,300,2.692,1.097
rxnflow_seh,rxnflow,reward,0,7.0,0.7,35,89,151,300,2.709,1.137
rxnflow_seh,rxnflow,reward,0,7.0,0.65,35,81,138,300,2.754,1.257
rxnflow_seh,rxnflow,reward,0,7.0,0.6,34,73,124,300,2.855,1.477
rxnflow_seh,rxnflow,reward,0,7.0,0.55,34,59,108,289,2.926,2.014
rxnflow_seh,rxnflow,reward,0,7.0,0.5,33,44,83,186,3.0,2.446
rxnflow_seh,rxnflow,reward,0,7.0,0.45,33,35,68,125,3.0,2.784
rxnflow_seh,rxnflow,reward,0,7.0,0.4,33,33,42,92,3.0,2.967
rxnflow_seh,rxnflow,reward,0,7.0,0.35,33,33,33,61,3.0,2.984
rxnflow_seh,rxnflow,reward,0,7.0,0.3,19,33,19,38,3.0,3.0
