cell,generator,child_policy,prebuild_k,gate,tau,best_modes_at_budget,hub_modes_at_budget,best_total_modes,hub_total_modes,best_rxn_per_mode,hub_rxn_per_mode
rgfn_seh,rgfn,reward,0,5.0,0.9,25,97,300,300,3.793,1.03
rgfn_seh,rgfn,reward,0,5.0,0.85,25,97,300,300,3.793,1.03
rgfn_seh,rgfn,reward,0,5.0,0.8,25,94,300,300,3.797,1.03
rgfn_seh,rgfn,reward,0,5.0,0.75,25,91,300,300,3.813,1.03
rgfn_seh,rgfn,reward,0,5.0,0.7,25,91,300,300,3.817,1.043
rgfn_seh,rgfn,reward,0,5.0,0.65,25,89,300,300,3.873,1.09
rgfn_seh,rgfn,reward,0,5.0,0.6,25,87,300,300,3.873,1.143
rgfn_seh,rgfn,reward,0,5.0,0.55,25,73,300,300,3.893,1.367
rgfn_seh,rgfn,reward,0,5.0,0.5,25,61,300,300,3.92,1.687
rgfn_seh,rgfn,reward,0,5.0,0.45,25,49,300,300,3.92,2.133
rgfn_seh,rgfn,reward,0,5.0,0.4,25,40,300,300,3.927,2.657
rgfn_seh,rgfn,reward,0,5.0,0.35,25,30,300,204,3.937,3.328
rgfn_seh,rgfn,reward,0,5.0,0.3,25,28,300,151,3.947,3.682
scent_seh,scent,free_frag,20,5.0,0.9,28,78,300,300,2.787,1.073
scent_seh,scent,free_frag,20,5.0,0.85,28,78,300,300,2.793,1.073
scent_seh,scent,free_frag,20,5.0,0.8,28,78,300,300,2.837,1.073
scent_seh,scent,free_frag,20,5.0,0.75,27,78,300,300,2.903,1.073
scent_seh,scent,free_frag,20,5.0,0.7,28,78,300,300,2.987,1.077
scent_seh,scent,free_frag,20,5.0,0.65,29,78,300,300,3.067,1.077
scent_seh,scent,free_frag,20,5.0,0.6,29,78,300,300,3.08,1.08
scent_seh,scent,free_frag,20,5.0,0.55,28,77,300,300,3.23,1.083
scent_seh,scent,free_frag,20,5.0,0.5,28,77,300,300,3.383,1.093
scent_seh,scent,free_frag,20,5.0,0.45,27,76,300,300,3.537,1.147
scent_seh,scent,free_frag,20,5.0,0.4,26,74,300,300,3.657,1.323
scent_seh,scent,free_frag,20,5.0,0.35,25,69,300,300,3.693,1.69
scent_seh,scent,free_frag,20,5.0,0.3,25,62,300,205,3.84,1.99
rxnflow_seh,rxnflow,reward,0,5.0,0.9,36,98,300,300,2.637,1.007
rxnflow_seh,rxnflow,reward,0,5.0,0.85,36,98,300,300,2.657,1.007
rxnflow_seh,rxnflow,reward,0,5.0,0.8,35,98,300,300,2.69,1.007
rxnflow_seh,rxnflow,reward,0,5.0,0.75,35,98,300,300,2.69,1.01
rxnflow_seh,rxnflow,reward,0,5.0,0.7,35,98,300,300,2.69,1.01
rxnflow_seh,rxnflow,reward,0,5.0,0.65,35,97,300,300,2.757,1.023
rxnflow_seh,rxnflow,reward,0,5.0,0.6,34,97,300,300,2.83,1.057
rxnflow_seh,rxnflow,reward,0,5.0,0.55,34,91,300,300,2.9,1.13
rxnflow_seh,rxnflow,reward,0,5.0,0.5,33,79,300,300,2.97,1.283
rxnflow_seh,rxnflow,reward,0,5.0,0.45,33,65,300,300,2.97,1.487
rxnflow_seh,rxnflow,reward,0,5.0,0.4,33,57,300,300,2.997,1.767
rxnflow_seh,rxnflow,reward,0,5.0,0.35,33,44,300,269,3.0,2.193
rxnflow_seh,rxnflow,reward,0,5.0,0.3,33,39,300,159,2.997,2.566
