strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,5,1,0,5,-7.3547,c1ccc(-c2ccc(-c3cccc(-c4ncnc5[nH]cnc45)c3)nc2C2CCNC2)cc1
best_candidate,2,10,2,0,5,-7.0767,O=c1nc2[nH]c3ccc(C4CC(Cl)C(C5CCCOC5)CC4c4ccccc4)cc3nc-2c(=O)[nH]1
best_candidate,3,15,3,0,5,-6.5504,O=c1nc2n(-n3ccc(-c4ccn(-c5cccc(C6CCNC6)n5)n4)n3)c3ccccc3nc-2c(=O)[nH]1
best_candidate,4,20,4,0,5,-6.537,O=c1nc2[nH]c3ccc(-n4cc(-c5nc6[nH]cnc6c(=O)[nH]5)c(C5CC(Br)CN5)n4)cc3nc-2c(=O)[nH]1
best_candidate,5,25,5,0,5,-6.448,NC(=O)c1ccc(-c2cncnc2)c(-n2c3nc(=O)[nH]c(=O)c-3nc3ccc(CNC=O)cc32)c1
best_candidate,6,30,6,0,5,-6.4362,O=c1nc2[nH]c3cc(F)c(-n4nc(-c5cc[nH]c5)cc4-c4ccccc4)cc3nc-2c(=O)[nH]1
best_candidate,7,35,7,0,5,-6.3817,O=CNC1CNC(C2CCCCC2C2CCOC(c3ccc4ccccc4c3)C2)C1
best_candidate,8,40,8,0,5,-6.3356,O=c1nc2[nH]c3cc(-c4ccccc4)c(C4CCOC([NH+]5CCOCC5)C4c4ccccc4)cc3nc-2c(=O)[nH]1
best_candidate,9,45,9,0,5,-6.3346,O=c1nc2[nH]c3ccc(-n4nc(N5C=CCC(C6CCCN6)=C5)cc4-c4ccn[nH]4)cc3nc-2c(=O)[nH]1
best_candidate,10,50,10,0,5,-6.2842,O=C(Nc1ccc2nc3c(=O)[nH]c(=O)nc-3[nH]c2c1)c1cccc(-c2cnccc2-c2ccn[nH]2)c1
best_candidate,11,55,11,0,5,-6.1641,C1=CC(c2ccnc(-c3cccc(-c4cccc5ccccc45)n3)n2)C(c2cncnc2)CC1
best_candidate,12,60,12,0,5,-6.1385,O=c1[nH]c(COC2CC=CCC2)nc2c1ncn2-c1ccccc1-c1ccc2ccccc2c1
best_candidate,13,65,13,0,5,-6.1311,FC(F)(F)C1CCN(C2OCCC2C2CCCCC2)CC1c1ccccc1
best_candidate,14,70,14,0,5,-6.0919,NCc1ccnc(-c2cc3nc4c(=O)[nH]c(=O)nc-4[nH]c3cc2-c2cccc(C3CCCCO3)c2)n1
