strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,5,1,0,5,1.0,Ic1ccc(C2CC2)c(CCN2CCCCC2)c1
best_candidate,2,10,2,0,5,1.0,CCc1ccc(F)cc1CCN1CCCCC1
best_candidate,3,15,3,0,5,1.0,Brc1cccc(CCN2CCC(c3ccccc3)CC2)c1
best_candidate,4,20,4,0,5,1.0,CCc1ccccc1CCN1CCCC(c2cc[nH]c2)C1
best_candidate,5,25,5,0,5,1.0,c1ccc(C2CCCN(CCc3ccccc3C3CC3)C2)nc1
best_candidate,6,30,6,0,5,1.0,Ic1ccc(C2CCCN(CCc3ccccc3)C2)cc1
best_candidate,7,35,7,0,5,1.0,Clc1ccc(C2CC2)c(CCN2CCCCC2)c1
best_candidate,8,40,8,0,5,1.0,c1ccc(N2CCCC(c3ccccc3CCN3CCCC3)C2)cc1
best_candidate,9,45,9,0,5,1.0,c1ccc(C2CCN(CCc3ccccc3C3CC3)CC2)cc1
best_candidate,10,50,10,0,5,1.0,c1ccc(C2CCNC2)c(CCN2CCCC(c3cc[nH]c3)C2)c1
best_candidate,11,55,11,0,5,1.0,c1cc(CCN2CCC(c3ccc[nH]3)CC2)cc(C2CC2)c1
best_candidate,12,60,12,0,5,1.0,Cc1c(CCN2CCCC2)cccc1C1CC1
best_candidate,13,65,13,0,5,1.0,c1cc(CCN2CCC(c3cn[nH]c3)C2)cc(C2CC2)c1
best_candidate,14,70,14,0,5,1.0,c1cc(CCN2CCC(c3cscn3)CC2)cc(C2CC2)c1
best_candidate,15,75,15,0,5,1.0,CCc1c(CCN2CCCCC2)cccc1C1CC1
best_candidate,16,80,16,0,5,1.0,Fc1ccc(CCN2CCCCC2)c(C2CCCNC2)c1
best_candidate,17,85,17,0,5,1.0,Ic1cccc(CCN2CCC(c3c[nH]c4ccccc34)C2)c1
best_candidate,18,90,18,0,5,1.0,c1ccc(C2CCCNC2)c(CCN2CCC(c3nccs3)C2)c1
best_candidate,19,95,19,0,5,1.0,CCc1ccccc1C1CCC(CCN2CCCC2)CC1
best_candidate,20,100,20,0,5,1.0,CCC1CCC(c2cc(I)ccc2[SH+]C)CC1
best_candidate,21,105,21,0,5,1.0,Brc1cnccc1C1CCN(CCc2ccccc2)CC1
best_candidate,22,110,22,0,5,1.0,Brc1ccc(CCN2CCCC2)c(C2CCCCC2)c1
best_candidate,23,115,23,0,5,1.0,c1ccc(C2CCCN(CCc3cnccc3N3CCCC3)C2)cc1
best_candidate,24,120,24,0,5,1.0,CCc1ccc(C2CC2)cc1CCN1CCCC1
best_candidate,25,125,25,0,5,1.0,c1ccc(C2CCCC(c3cscn3)C2)c(CCN2CCCC2)c1
best_candidate,26,130,26,0,5,1.0,Brc1ccc(C2CCCCC2)c(CCN2CCCC2)c1
best_candidate,27,135,27,0,5,1.0,c1cc(-c2ccc(CCN3CCCC3)c(C3CC3)c2)ccn1
best_candidate,28,140,28,0,5,1.0,c1cc(CCN2CCCC(c3cccs3)C2)cc(C2CC2)c1
best_candidate,29,145,29,0,5,1.0,C=C(C)c1ccccc1CCN1CCCC(c2cc[nH]c2)C1
best_candidate,30,150,30,0,5,1.0,c1ccc(C2CCCCC2c2nccs2)c(CCN2CCCC2)c1
best_candidate,31,155,31,0,5,1.0,c1cc(-c2cc(CCN3CCCC3)ccc2C2CC2)ccn1
best_candidate,32,160,32,0,5,1.0,CCc1cccc(CCN2CCCCC2)c1C1CC1
best_candidate,33,165,33,0,5,1.0,c1nc(C2CCN(CCc3ccc(C4CC4)cc3)CC2)cs1
best_candidate,34,170,34,0,5,1.0,c1cc(CCN2CCCC2)c(C2CC2)c(-c2cc[nH]n2)c1
best_candidate,35,175,35,0,5,1.0,Fc1ccc(C2CCN(CCc3ccccc3)CC2)cc1
best_candidate,36,180,36,0,5,1.0,Clc1ccc(C2CCC(CCN3CCCC3)CC2)cc1
best_candidate,37,185,37,0,5,1.0,c1ccc(C2CCCNC2)c(CCN2CCCC(c3ccncc3)C2)c1
best_candidate,38,190,38,0,5,1.0,Ic1ccc(C2CCCN2)c(CCN2CCCC2)c1
best_candidate,39,195,39,0,5,1.0,c1ccc(C2CC2)c(CCN2CCC(c3ccn[nH]3)C2)c1
best_candidate,40,200,40,0,5,1.0,Brc1ccc(C2CCCC(CCN3CCCC3)C2)cc1
best_candidate,41,205,41,0,5,1.0,Brc1ccccc1CCN1CCC(c2c[nH]c3ccccc23)CC1
best_candidate,42,210,42,0,5,1.0,c1ccc(C2CC2)c(CCN2CCC(c3ccn[nH]3)CC2)c1
best_candidate,43,215,43,0,5,1.0,c1ccc(C2CC2)c(CCN2CCCC(c3cc[nH]c3)C2)c1
best_candidate,44,220,44,0,5,1.0,c1cncc(C2CCCN(CCc3ccccc3C3CC3)C2)c1
best_candidate,45,221,45,0,1,1.0,Brc1ccc(C2CCCC(CCN3CCCC3)C2)cc1
best_candidate,46,226,46,0,5,1.0,c1ccc(C2CCC(c3cn[nH]c3)C(CCN3CCCC3)C2)cc1
best_candidate,47,231,47,0,5,1.0,Clc1cccc(C2CCC(CCN3CCCC3)CC2)c1
best_candidate,48,236,48,0,5,1.0,ClC1CCCCC1c1ccccc1CCN1CCCC1
best_candidate,49,241,49,0,5,1.0,Clc1cccc(CCN2CCCC2)c1C1CCCNC1
best_candidate,50,246,50,0,5,1.0,Fc1ccc(CCN2CCCC2)c(C2CCCCC2)c1
best_candidate,51,251,51,0,5,1.0,C=CC1CCC(c2ccccc2CCN2CCCC2)CC1
best_candidate,52,256,52,0,5,1.0,Ic1ccc(C2CCCCC2CCN2CCCC2)cc1
best_candidate,53,261,53,0,5,1.0,c1ccc(C2CCCC(CCN3CCCC3)C2c2nccs2)cc1
best_candidate,54,266,54,0,5,1.0,Brc1ccc(C2CCCCC2CCN2CCCC2)cc1
best_candidate,55,271,55,0,5,1.0,Oc1ccccc1CCN1CCCC(c2cccnc2)C1
best_candidate,56,276,56,0,5,1.0,CN(C)c1ccc(C2CCCN(CCc3c[nH]c4ccccc34)C2)cc1
best_candidate,57,281,57,0,5,1.0,CCc1ccc(CCN2CCCC(c3cc[nH]c3)C2)cc1
best_candidate,58,286,58,0,5,1.0,c1ccc(C2CCN(CCC3NCCC3c3c[nH]c4ccccc34)C2)cc1
best_candidate,59,291,59,0,5,1.0,Fc1cccc(C2CCC(CCN3CCCC3)CC2)c1
