strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,5,1,1365,5,8.2454,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,2,6,2,1365,1,7.9493,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,3,7,3,1365,1,7.8528,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,4,8,4,1365,1,7.7709,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,5,9,5,1365,1,7.63,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,6,10,6,1365,1,7.6276,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,7,11,7,1365,1,7.5508,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,8,12,8,1365,1,7.5039,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,9,13,9,1365,1,7.3826,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,10,14,10,1365,1,7.1347,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,11,15,11,1365,1,5.8025,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,12,16,12,1365,1,5.5048,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,13,17,13,1365,1,5.1109,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,14,18,14,1365,1,5.0933,O=C(NCc1ccccc1)c1cccc(-c2ccnc(C3CCNC3)c2)c1
hub_batching,15,23,15,2835,5,8.2331,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,16,24,16,2835,1,8.1629,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,17,25,17,2835,1,7.9158,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,18,26,18,2835,1,7.8861,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,19,27,19,2835,1,7.8273,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,20,28,20,2835,1,7.6482,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,21,29,21,2835,1,7.6456,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,22,30,22,2835,1,7.5692,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,23,31,23,2835,1,7.5226,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,24,32,24,2835,1,7.3769,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,25,33,25,2835,1,7.3199,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,26,34,26,2835,1,7.2984,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,27,35,27,2835,1,7.2053,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,28,36,28,2835,1,7.0993,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,29,37,29,2835,1,6.6058,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,30,38,30,2835,1,6.2681,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
hub_batching,31,39,31,2835,1,6.0993,O=C(NCc1ccc(C2CCCN2)cn1)c1cccc(-c2ccccn2)c1
