strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,-7.1487,Nc1ccc(C(=O)N2c3ccccc3-n3cccc3C2c2ccccc2)cc1N
best_candidate,2,6,2,0,3,-6.5022,Nc1cc(C(=O)N2c3ccccc3-n3cccc3C2c2nc3ccccc3[nH]2)ccc1O
best_candidate,3,9,3,0,3,-6.3856,O=C(c1cccc(F)n1)N1c2ccccc2-n2cccc2C1c1ccccc1
best_candidate,4,13,4,0,4,-6.3608,CCC(N)C(=O)N1c2ccccc2-n2cccc2C1c1cccc(-c2ccc(O)cc2)c1
best_candidate,5,17,5,0,4,-6.2691,O=C(c1cccc(F)n1)N1c2ccccc2-n2cccc2C1c1cccnc1O
best_candidate,6,21,6,0,4,-5.989,Nc1n[nH]cc1-c1cc(-c2cccnc2-c2ccccc2Cl)cnc1F
best_candidate,7,25,7,0,4,-5.9777,O=C(c1cccc(F)n1)N(c1csc(-c2cnco2)n1)C1CCCCC1O
best_candidate,8,29,8,0,4,-5.8618,O=C(OC1CCCC1)c1ccc(F)c(F)c1N(C(=O)NC1(C(=O)O)CCC1)c1cc(F)c(F)cc1O
best_candidate,9,33,9,0,4,-5.7293,O=c1cc(Cn2nnc(-c3ccc(O)c(N(Cc4ccc(F)cc4)c4nc5ccccc5[nH]4)c3)n2)c2ccccc2[nH]1
best_candidate,10,37,10,0,4,-5.6958,O=C(C1Cc2c([nH]c3ccccc23)C(c2nc(Br)cs2)N1)N1c2ccccc2-n2cccc2C1c1nc2ccccc2[nH]1
best_candidate,11,41,11,0,4,-5.5239,O=C(O)CC(NC(=O)NC1CCCCC1O)C(=O)N(Cc1ccccc1O)c1nc2ccccc2[nH]1
best_candidate,12,45,12,0,4,-5.5145,COc1ccc(NC(=O)N2c3ccccc3-n3cccc3C2c2ccnc(Br)c2)c(Nc2nc3ccccc3[nH]2)c1
best_candidate,13,49,13,0,4,-5.3986,O=C(NCCc1ccccc1)c1cccc(N(C(=O)Nc2ccccc2C(=O)O)c2cccnc2Br)n1
best_candidate,14,53,14,0,4,-5.3847,O=C(Nc1ccccc1O)N1CCC(C(=O)N2c3ccccc3-n3cccc3C2c2ncc[nH]2)CC1
best_candidate,15,57,15,0,4,-5.3759,Nc1n[nH]cc1-c1cccc(C(=O)Oc2ccc(-c3cncc(O)c3)cc2)c1
best_candidate,16,61,16,0,4,-5.3367,COc1ccc(C(F)(F)F)cc1C1c2cccn2-c2ccccc2N1C(=O)c1cccc(Nc2cc(C#N)ccc2N)n1
best_candidate,17,65,17,0,4,-5.3165,O=C(c1ccc(F)c(F)c1Nc1n[nH]cc1Br)N1c2ccccc2-n2cccc2C1c1nc2ccccc2[nH]1
best_candidate,18,69,18,0,4,-5.3109,O=C(O)c1ccc2c(c1)nc(-c1cccnc1Br)n2Cc1cccc(Nc2cc(F)ccc2O)n1
best_candidate,19,73,19,0,4,-5.3061,N#Cc1ccc2[nH]c(C3Cc4ccccc4C(c4nc5ccccc5[nH]4)N3C(=O)Nc3cc(F)c(F)cc3O)nc2c1
best_candidate,20,77,20,0,4,-5.2512,CSCCC(NCc1cccc(F)n1)C(=O)N1c2ccccc2-n2cccc2C1c1ccccc1
best_candidate,21,81,21,0,4,-5.2323,O=C(Nc1ccc(CN(C(=O)Nc2ccccc2O)c2cc(F)c(F)cc2O)cc1Br)Nc1cccc2cc[nH]c12
best_candidate,22,85,22,0,4,-5.2125,N#Cc1ccc(O)c(Nc2ccc(C(=O)N3CCCCC3)cc2-c2cccc(S(=O)(=O)F)n2)c1
best_candidate,23,89,23,0,4,-5.2088,CC(NC(=O)NC(CC(=O)NCc1ccccc1O)C1=NC(C(=O)O)Cc2c1[nH]c1ccccc21)c1ccccc1
best_candidate,24,92,24,0,3,-5.2084,COc1ccc(CN(C(=O)C2Cc3ccccc3CN2)c2nccc(OC)n2)cc1
best_candidate,25,96,25,0,4,-5.1732,O=C(Oc1ccc2[nH]c3c(c2c1)CCN(C(=O)N1CCCCC1)C3c1nc(Br)cs1)c1cccnc1O
best_candidate,26,100,26,0,4,-5.1654,Nc1ccc(CNc2nc(Nc3ccccc3O)nc3[nH]cnc23)cc1S
best_candidate,27,104,27,0,4,-5.1366,COc1ccc(CNc2cccc(C(=O)N(c3ncc4[nH]ccc4n3)c3ccnc4ccccc34)n2)cc1
best_candidate,28,108,28,0,4,-5.1297,O=C(Oc1ncccc1C(=O)Nc1cccnc1Br)c1cc(-c2cncc(O)c2)ccc1F
best_candidate,29,109,29,0,1,-5.1288,O=S(=O)(F)c1cccc(F)c1
best_candidate,30,113,30,0,4,-5.1175,Cc1sc(Cl)nc1C1=NC(C(=O)N2c3ccccc3-n3cccc3C2c2ccccc2)Cc2c1[nH]c1ccccc21
best_candidate,31,117,31,0,4,-5.115,Nc1ccc(C(=O)Oc2cccc(B(O)O)c2)cc1N(c1cc(F)c(F)cc1O)S(=O)(=O)C1CCNCC1
best_candidate,32,119,32,0,2,-5.1108,CC(NC(=O)Nc1cc(F)c(F)cc1O)c1ccccc1
best_candidate,33,123,33,0,4,-5.1094,O=C(c1cccc(N(C(=O)Nc2cc(F)ccc2O)c2n[nH]cc2Br)n1)N1CCCCC1
best_candidate,34,127,34,0,4,-5.088,Nc1cc(C(=O)N2CCC(C(=O)N3c4ccccc4-n4cccc4C3c3ncc[nH]3)CC2)ccc1O
best_candidate,35,131,35,0,4,-5.066,O=C(NC(CC(=O)N1CCCCC1)C(=O)O)c1cccc(Nc2ccc(F)nc2Br)n1
best_candidate,36,135,36,0,4,-5.0449,Cc1cc(N(c2cc(F)c(F)cc2O)c2cc(CBr)ccc2[N+](=O)[O-])cnc1NCc1ccc(C(F)(F)F)c(F)c1
best_candidate,37,139,37,0,4,-5.0379,Cc1cc(Br)cnc1NC(=O)N(c1ncccc1-c1cscn1)C(CC(C)C)C(=O)O
best_candidate,38,143,38,0,4,-5.0271,O=C(NCc1ccc(C(F)(F)F)cc1)N1c2ccccc2-n2cccc2C1c1cccnc1-c1cccc(S(=O)(=O)F)c1
best_candidate,39,147,39,0,4,-5.0171,COC(=O)c1cccc(CN(Cc2ccccc2)C(=O)N2CCc3ccccc3C2c2ccnc(F)c2)c1
best_candidate,40,151,40,0,4,-4.995,Nc1nc(Nc2cccc(Br)c2C(=O)Oc2cncc(-c3cc(F)ccc3O)c2)nc2[nH]cnc12
best_candidate,41,155,41,0,4,-4.9927,O=C1CN(C(=O)N2c3ccccc3-n3cccc3C2c2cccnc2-c2cc(F)ccc2O)C1
best_candidate,42,159,42,0,4,-4.9688,CN(CC(=O)Nc1cc(F)c(F)cc1OC(=O)c1ccc(F)c(B(O)O)c1)C(=O)Nc1ccc(Br)cc1
best_candidate,43,163,43,0,4,-4.9667,CC(c1ccc(S(=O)(=O)N2CCCCC2)cc1)N(C(=O)c1cccc(F)n1)c1cc(F)ccc1O
best_candidate,44,167,44,0,4,-4.9488,O=C(c1ccc(F)c(F)c1F)N1c2ccccc2-n2cccc2C1c1ccnc(Nc2cc(F)c(F)cc2O)c1
best_candidate,45,171,45,0,4,-4.9456,Nc1ccccc1-c1nc(-c2cccc(F)c2F)cs1
best_candidate,46,175,46,0,4,-4.9301,O=C(O)c1cc(B(O)O)cc(-c2cccc(C3c4cccn4-c4ccccc4N3C(=O)c3ccc(F)c(F)c3F)c2)c1
best_candidate,47,179,47,0,4,-4.9286,O=C(NC(Cc1c[nH]c2ccccc12)C1=NCCc2c1[nH]c1ccc(O)cc21)N(Cc1ncccc1C(F)(F)F)c1ccccn1
best_candidate,48,183,48,0,4,-4.9169,O=C(C1Cc2c([nH]c3ccccc23)C(C2CCCNC2)=N1)N(c1cscn1)c1cccnc1Br
best_candidate,49,187,49,0,4,-4.9143,Cc1cc(F)ccc1-c1ncccc1-c1ncccc1C1NCCc2c1[nH]c1ccc(O)cc21
best_candidate,50,191,50,0,4,-4.9128,COc1ccc(C(F)(F)F)cc1C1c2cccn2-c2ccccc2N1C(=O)c1cccc(Nc2ccccc2C(=O)O)n1
best_candidate,51,195,51,0,4,-4.9026,NC(=O)CC(NC(=O)N(Cc1cscn1)C(Cc1ccccc1)C(=O)N1CCCCC1)C(=O)O
best_candidate,52,197,52,0,2,-4.9012,O=S(=O)(F)c1cccc(N2CCCCC2)n1
best_candidate,53,201,53,0,4,-4.8891,Cc1cc(F)ccc1-c1ncccc1-c1ccc(O)c(NCc2cccc(F)c2N)c1
best_candidate,54,205,54,0,4,-4.8878,O=C(O)c1ccccc1NCc1cccc(OC(=O)c2cccnc2F)c1Nc1ncc2[nH]ccc2n1
best_candidate,55,209,55,0,4,-4.8861,CC(N)C(=O)Oc1ccccc1CNC(=O)c1ccccc1NC(=O)N1CCCCC1
best_candidate,56,213,56,0,4,-4.8738,O=C(Cn1cc(C2c3[nH]c4ccc(O)cc4c3CCN2Cc2ncccc2C(F)(F)F)c2ccccc21)c1ccc(O)c(O)c1
best_candidate,57,217,57,0,4,-4.8685,Cc1cc(Br)cnc1N(Cc1cccc(F)c1NC(=O)C1CCCNC1)C(=O)c1cccnc1F
best_candidate,58,221,58,0,4,-4.8514,NC(Cc1c[nH]c2ccccc12)C1=NC(C(=O)N2c3ccccc3-n3cccc3C2c2cccnc2Br)Cc2ccccc21
best_candidate,59,225,59,0,4,-4.8413,C=CCNC(=O)NC(CCCNCc1cccnc1Br)C(=O)Nc1ccnc2ccccc12
best_candidate,60,229,60,0,4,-4.8393,O=C(N(Cc1ccc(F)c(C(F)(F)F)c1)Cc1ccccc1O)N1CCc2ccccc2C1c1nc2ccccc2[nH]1
best_candidate,61,233,61,0,4,-4.8339,COc1ccnc(N(CCc2ccc(S(N)(=O)=O)cc2)C(=O)Nc2ccccc2-c2cnc(F)c(B(O)O)c2)n1
best_candidate,62,237,62,0,4,-4.8295,O=C(c1cc(Br)cc(-c2cnc(F)c(B(O)O)c2)c1)N1CCCC(C2=NCCc3c(Br)cccc32)C1
best_candidate,63,241,63,0,4,-4.8184,O=C(c1ccccc1N(C(=O)NC1CCCCC1O)c1cscn1)N1CCCCC1
best_candidate,64,244,64,0,3,-4.8181,COc1ccc2c(c1)nc(-c1c[nH]c3ccccc13)n2C(=O)NC(C)c1ccccc1
best_candidate,65,248,65,0,4,-4.8125,Nc1nc(-c2cccnc2-c2cccc(NS(=O)(=O)C3CCOCC3)c2)cs1
best_candidate,66,252,66,0,4,-4.8081,COc1ccccc1CN(Cc1ccccc1NC(=O)c1cccnc1Br)C(=O)NC(C(=O)O)c1ccccc1
best_candidate,67,256,67,0,4,-4.8022,O=C(N1CCCCC1)N1CCc2ccccc2C1c1cccnc1Nc1ccccc1O
best_candidate,68,259,68,0,3,-4.7978,O=C(c1ncccc1C(F)(F)F)N1CCc2ccccc2C1c1nc2ccccc2[nH]1
best_candidate,69,263,69,0,4,-4.7971,NCCCCC(NC(=O)c1ccc(F)c(B(O)O)c1)C(=O)N1c2ccccc2-n2cccc2C1c1ccnc(F)c1
best_candidate,70,267,70,0,4,-4.7967,COc1ccc(NC(=O)Nc2cc(F)c(F)cc2O)c(N(CC(N)CC(=O)O)C(=O)Nc2cc(F)ccc2O)c1
best_candidate,71,268,71,0,1,-4.7765,O=C(O)c1ncccc1C(F)(F)F
best_candidate,72,272,72,0,4,-4.7745,O=C(NC(Cc1ccc([N+](=O)[O-])cc1)CN1CCC(O)CC1)NC(Cc1ccccc1)C(=O)Nc1ccnc2ccccc12
best_candidate,73,276,73,0,4,-4.7702,Cc1cc(-c2cc(C(=O)O)cc(N3CC(=O)C3)c2)cnc1NCc1cccc(O)c1N
best_candidate,74,280,74,0,4,-4.7698,Nc1ccc(Br)cc1NC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1c2ccccc2-n2cccc2C1c1cccnc1Br
