strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,-12.8,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2Cc3c([nH]c4ccccc34)C(c3ccncc3F)N2)=N1
best_candidate,2,7,2,0,4,-12.4,Nc1cccnc1-c1cccc(C2NC(c3nc4cc(Br)ccc4[nH]3)Cc3c2[nH]c2ccccc32)c1
best_candidate,3,10,3,0,3,-12.3,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2nc(-c3cccc(F)c3)cs2)N1
best_candidate,4,13,4,0,3,-12.2,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2-c2nc3ccc(C(F)(F)F)cc3[nH]2)N1
best_candidate,5,17,5,0,4,-12.1,Fc1cccc(-c2csc(C3NC(C4=NCCc5c4[nH]c4ccccc54)Cc4c3[nH]c3ccccc43)n2)c1
best_candidate,6,20,6,0,3,-12.1,NC(Cc1c[nH]c2ccccc12)C1=NC(C2=NC(C(=O)O)Cc3c2[nH]c2ccccc32)Cc2c1[nH]c1ccccc21
best_candidate,7,23,7,0,3,-12.0,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2CCCCC2)N1C(=O)Nc1ccc(C(F)(F)F)cc1
best_candidate,8,27,8,0,4,-12.0,Nc1cccnc1-c1cccc(C2NC(C3=NC(C(=O)O)Cc4c3[nH]c3ccccc43)Cc3c2[nH]c2ccccc32)c1
best_candidate,9,31,9,0,4,-12.0,O=C(O)c1cc(-c2cncc(O)c2)cc(-c2cc(-c3cccc(F)c3)cnc2F)c1
best_candidate,10,34,10,0,3,-11.9,O=Cc1c[nH]c2ccc(-c3cc(C4=NC(C(=O)O)Cc5c4[nH]c4ccccc54)ccc3F)cc12
best_candidate,11,37,11,0,3,-11.9,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2Cc3c([nH]c4ccccc34)C(c3cscn3)=N2)=N1
best_candidate,12,41,12,0,4,-11.9,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2cncc(-c3cccc(F)c3)c2)N1Cc1nc2ccccc2[nH]1
best_candidate,13,45,13,0,4,-11.9,O=C(O)c1ccc(C2c3[nH]c4ccccc4c3CC(c3nc4cc(F)ccc4o3)N2Cc2ccccc2C(=O)O)cc1
best_candidate,14,49,14,0,4,-11.9,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2cncc(Br)c2)N1S(=O)(=O)c1cccc(-c2cccc(F)c2)c1
best_candidate,15,52,15,0,3,-11.9,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2c[nH]c3cc(Nc4cccc5cc[nH]c45)ccc23)N1
best_candidate,16,56,16,0,4,-11.8,Nc1cccnc1-c1cc(C2=NC(C(=O)O)Cc3c2[nH]c2ccccc32)cc(-c2cccc(F)c2)c1
best_candidate,17,60,17,0,4,-11.8,Nc1ccccc1CN1C(C(=O)O)Cc2c([nH]c3ccccc23)C1c1cccc(-c2cccc(S(=O)(=O)F)n2)c1
best_candidate,18,63,18,0,3,-11.8,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2C2NC(C(=O)O)Cc3c2[nH]c2ccccc32)=N1
best_candidate,19,66,19,0,3,-11.8,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2Cc3c([nH]c4ccccc34)C(c3ccc(F)c(C(F)(F)F)c3)N2)=N1
best_candidate,20,70,20,0,4,-11.7,O=C(OCC1CCC(F)(F)CC1)c1ccc(C2NC(c3nc4cc(F)c(F)cc4o3)Cc3c2[nH]c2ccccc32)cc1
best_candidate,21,74,21,0,4,-11.7,O=C(NC(Cc1c[nH]c2ccccc12)c1nc2cc(F)ccc2o1)c1cccc(NCc2ccc(O)cc2)n1
best_candidate,22,77,22,0,3,-11.6,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2cccc(-c3ccc(C(F)(F)F)cn3)c2)=N1
best_candidate,23,81,23,0,4,-11.6,O=C(O)C(NC(=O)N1C(c2nc3ccc(C(F)(F)F)cc3[nH]2)Cc2c([nH]c3ccccc23)C1c1ccncc1F)c1ccccc1
best_candidate,24,84,24,0,3,-11.6,O=C(O)c1ccc(F)c(-c2cccc(S(=O)(=O)NC34CC(C3)C4)n2)c1
