strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,3,1,1194,3,-12.5,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2-c2nc3ccc(C(F)(F)F)cc3[nH]2)N1
hub_batching,2,4,2,1194,1,-11.7,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2-c2nc3ccc(C(F)(F)F)cc3[nH]2)N1
hub_batching,3,5,3,1194,1,-10.5,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2-c2nc3ccc(C(F)(F)F)cc3[nH]2)N1
hub_batching,4,6,4,1194,1,-9.9,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2-c2nc3ccc(C(F)(F)F)cc3[nH]2)N1
hub_batching,5,7,5,1194,1,-9.6,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2-c2nc3ccc(C(F)(F)F)cc3[nH]2)N1
hub_batching,6,11,6,2515,4,-11.4,O=C(O)c1ccc(F)c(-c2cc(C3=NC(C(=O)O)Cc4c3[nH]c3ccccc43)cc(-c3cccnc3F)c2)c1
hub_batching,7,12,7,2515,1,-9.9,O=C(O)c1ccc(F)c(-c2cc(C3=NC(C(=O)O)Cc4c3[nH]c3ccccc43)cc(-c3cccnc3F)c2)c1
hub_batching,8,13,8,2515,1,-9.8,O=C(O)c1ccc(F)c(-c2cc(C3=NC(C(=O)O)Cc4c3[nH]c3ccccc43)cc(-c3cccnc3F)c2)c1
hub_batching,9,16,9,3930,3,-11.2,O=C(Cn1c(C2NC(C(=O)O)Cc3c2[nH]c2ccccc32)nc2ccccc21)c1ccc(O)cc1
hub_batching,10,17,10,3930,1,-10.9,O=C(Cn1c(C2NC(C(=O)O)Cc3c2[nH]c2ccccc32)nc2ccccc21)c1ccc(O)cc1
hub_batching,11,18,11,3930,1,-10.2,O=C(Cn1c(C2NC(C(=O)O)Cc3c2[nH]c2ccccc32)nc2ccccc21)c1ccc(O)cc1
hub_batching,12,19,12,3930,1,-10.0,O=C(Cn1c(C2NC(C(=O)O)Cc3c2[nH]c2ccccc32)nc2ccccc21)c1ccc(O)cc1
hub_batching,13,20,13,3930,1,-9.5,O=C(Cn1c(C2NC(C(=O)O)Cc3c2[nH]c2ccccc32)nc2ccccc21)c1ccc(O)cc1
hub_batching,14,22,14,5075,2,-11.3,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccncc2F)N1
hub_batching,15,23,15,5075,1,-11.0,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccncc2F)N1
hub_batching,16,24,16,5075,1,-10.9,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccncc2F)N1
