strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,1.0,O=CCCN(CCC1NCCc2ccc(O)cc21)Cc1c[nH]c2ccccc12
best_candidate,2,8,2,0,4,1.0,COc1cccc(CNC2CN(CCC3NCCc4ccc(O)cc43)C2)c1
best_candidate,3,12,3,0,4,0.9973,O=CCCN1CCc2ccc(O)cc2C1CCNc1cccnc1Br
best_candidate,4,16,4,0,4,0.9965,Oc1ccc2c(c1)C(CCN1CC(Nc3cc(F)c(F)cc3O)C1)NCC2
best_candidate,5,20,5,0,4,0.9959,C=CCN(CCC(N)CN1CCCCC1)Cc1c[nH]c2ccccc12
best_candidate,6,24,6,0,4,0.9954,O=CCCN(c1cccnc1Br)C(CBr)CN1CCCCC1
best_candidate,7,28,7,0,4,0.9953,CCCN(Cc1c[nH]c2ccccc12)C(CBr)CN1CCC(C(=O)O)CC1
best_candidate,8,31,8,0,3,0.9952,Oc1ccc2c(c1)C(CCN1CCC(O)CC1)NCC2
best_candidate,9,35,9,0,4,0.9943,Oc1ccc2c(c1)C(c1cccnc1Br)N(CC1CN(C3CNC3)C1)CC2
best_candidate,10,39,10,0,4,0.9942,O=C(O)C1CN(CCC2c3cc(O)ccc3CCN2C(CCl)c2ccc(Cl)c(Cl)c2)C1
best_candidate,11,42,11,0,3,0.994,O=C(CBr)CN1CCc2ccc(O)cc2C1c1ccnc(Br)c1
best_candidate,12,46,12,0,4,0.994,C=CCN(CCCNC1CC1)CCc1c[nH]c2ccc(O)cc12
best_candidate,13,50,13,0,4,0.9936,Oc1ccc2c(c1)C(CCN(CCBr)c1cc(F)c(F)cc1O)NCC2
best_candidate,14,54,14,0,4,0.9933,Oc1ccc2c(c1)C(CCN1CC(Nc3n[nH]cc3Br)C1)NCC2
best_candidate,15,57,15,0,3,0.9932,CC(C)C(CN1CCCCC1)Nc1cccc(N)c1O
best_candidate,16,61,16,0,4,0.993,OCC1CCCN1CCCN1CCc2ccc(O)cc2C1c1cccnc1Br
best_candidate,17,65,17,0,4,0.9927,Oc1ccc2c(c1)C(c1cccnc1Br)N(C1CN(C3CCC3)C1)CC2
best_candidate,18,68,18,0,3,0.9927,NC(CCNCc1c[nH]c2ccccc12)CN1CCCCC1
best_candidate,19,72,19,0,4,0.9926,NC(CCN1CCC(O)CC1)CN(c1ccccc1C(=O)O)C1CCC1
best_candidate,20,76,20,0,4,0.9926,Oc1ccc2c(c1)C(CCN(C1CC1)C1CNC1)NCC2
