strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,-5.6594,Nc1cccc(NC(Cc2ccccc2)C2=NC(C(=O)O)Cc3ccc([N+](=O)[O-])cc32)c1O
best_candidate,2,6,2,0,3,-5.6433,O=Cc1ccc(CN(c2ccc([N+](=O)[O-])c3ncccc23)C(Cc2cccs2)C(=O)O)cc1
best_candidate,3,7,3,0,1,-5.6089,NC(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,4,10,4,0,3,-5.2944,Nc1ccc(C(=O)Nc2c(F)cccc2CNC(C(=O)O)c2ccccc2)cc1O
best_candidate,5,13,5,0,3,-5.2546,NC(CNc1c(F)cccc1CNC(Cc1ccc(O)cc1)C(=O)O)Cc1c[nH]c2ccccc12
best_candidate,6,16,6,0,3,-5.1911,CCC(N)CNC(Cc1c[nH]cn1)C(=O)Oc1cc(C(=O)O)ccc1N
best_candidate,7,19,7,0,3,-5.1553,CC(O)C(N)CN(C(=O)Nc1c(O)cccc1C(=O)O)C(C(=O)O)c1ccccc1
best_candidate,8,22,8,0,3,-5.1493,NC(=O)CC(NCC1Cc2ccc(O)cc2C(c2cscn2)=N1)C(=O)O
best_candidate,9,25,9,0,3,-5.1341,O=C(NC(CNC(Cc1c[nH]cn1)C(=O)O)Cc1cccs1)c1cncc(F)c1
best_candidate,10,28,10,0,3,-5.1263,O=C(O)c1cccc(Nc2ccc(F)nc2NC(Cc2c[nH]c3ccccc23)C(=O)O)n1
best_candidate,11,31,11,0,3,-5.0778,Cc1ccnc(NC(Cc2c[nH]cn2)C(=O)O)c1NCc1ccc(C(F)(F)F)c(F)c1
best_candidate,12,34,12,0,3,-5.0515,NC(CNC(CCC(=O)O)C1=NC(C(=O)O)Cc2ccc(O)cc21)c1ccccc1
best_candidate,13,37,13,0,3,-5.0368,CC(OC(=O)CCC(N)C1=NC(C(=O)O)Cc2ccc([N+](=O)[O-])cc21)C(N)C(=O)O
best_candidate,14,40,14,0,3,-5.0222,NC(C(=O)NC(Cc1c[nH]c2ccccc12)C1=NC(C(=O)O)Cc2ccc([N+](=O)[O-])cc21)c1ccccc1
best_candidate,15,43,15,0,3,-4.9817,CC(O)C(N)CNC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O
best_candidate,16,46,16,0,3,-4.9569,Nc1cc(C(=O)O)ccc1OC(=O)CC(NC(=O)N1Cc2ccccc2CC1C(=O)O)C(=O)O
best_candidate,17,49,17,0,3,-4.934,NC(Cc1c[nH]cn1)C(=O)Nc1cccnc1Nc1ccccc1C(=O)O
best_candidate,18,52,18,0,3,-4.9024,NC(CNC(Cc1ccccc1)C(=O)OCc1ccc(C(=O)O)cc1)Cc1ccc([N+](=O)[O-])cc1
best_candidate,19,55,19,0,3,-4.8949,Nc1ccc(CNC(Cc2cccs2)C(=O)N2Cc3ccccc3CC2C(=O)O)cc1N
best_candidate,20,58,20,0,3,-4.8932,O=C(O)C1Cc2ccccc2C(c2cccc(CNC(CO)C(=O)O)c2)=N1
best_candidate,21,61,21,0,3,-4.8891,NC(=O)CCC(CNC(C(=O)O)c1ccccc1)NC(=O)C(N)Cc1ccc([N+](=O)[O-])cc1
best_candidate,22,64,22,0,3,-4.8869,O=C(O)C1Cc2c([nH]c3ccccc23)C(C(Cc2c[nH]cn2)Nc2cc(CBr)ccc2[N+](=O)[O-])=N1
best_candidate,23,67,23,0,3,-4.8816,CC(O)CNc1cc(-c2nc3ccc(C(=O)O)cc3[nH]2)ccc1N
