strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,-8.2418,Nc1cc(C(=O)N2Cc3ccccc3CC2c2nc3cccc(O)c3[nH]2)ccc1O
best_candidate,2,8,2,0,4,-8.1966,Nc1ccc(C(=O)N2c3ccccc3-n3cccc3C2c2c[nH]c3ccc(O)cc23)cc1N
best_candidate,3,12,3,0,4,-8.1948,Nc1nc(Nc2cc(C(=O)N3Cc4ccccc4CC3c3nc4cccc(Br)c4o3)ccc2O)nc2[nH]cnc12
best_candidate,4,16,4,0,4,-7.8891,Nc1ccc(C(=O)N2c3ccccc3-n3cccc3C2c2ccnc(Br)c2)cc1Nc1nc2ccccc2[nH]1
best_candidate,5,20,5,0,4,-7.8507,
best_candidate,6,24,6,0,4,-7.7513,Cc1cc(I)cnc1N(C(=O)c1ccc(N)c(N)c1)c1ccnc2ccccc12
best_candidate,7,28,7,0,4,-7.7304,Nc1cc(C(=O)N2CCc3c(O)cccc3C2c2cccnc2F)ccc1O
best_candidate,8,32,8,0,4,-7.7163,Nc1nc(Nc2cc(C(=O)N3C(C(=O)O)Cc4ccccc4C3c3cccc(Br)c3)ccc2O)nc2[nH]cnc12
best_candidate,9,36,9,0,4,-7.6862,Nc1ccc(C(=O)N(c2c(N)cccc2Br)c2c(C(F)(F)F)nc3ccccc3c2O)cc1Nc1nc(N)c2nc[nH]c2n1
best_candidate,10,40,10,0,4,-7.6689,O=C(c1ccc(O)c(Nc2nc3ccccc3[nH]2)c1)N1c2ccccc2-n2cccc2C1c1c[nH]c2ccc(Br)cc12
best_candidate,11,44,11,0,4,-7.64,Nc1cc(C(=O)N2c3ccccc3-n3cccc3C2c2ccnc(-c3ccccc3F)c2)ccc1O
best_candidate,12,48,12,0,4,-7.6159,Nc1cc(C(=O)N(c2ccc3ccccc3n2)c2cc(-c3ccccc3F)ccc2O)ccc1O
best_candidate,13,52,13,0,4,-7.5639,Nc1nc(Nc2cc(C(=O)N(c3ncc4[nH]ccc4n3)c3cc(Br)ccc3O)ccc2O)nc2[nH]cnc12
best_candidate,14,56,14,0,4,-7.5609,Nc1cc(C(=O)N2CCc3c(Br)cccc3C2c2ccnc(O)c2)ccc1O
best_candidate,15,60,15,0,4,-7.5497,O=C(c1ccc(O)c(Nc2ncc3[nH]ccc3n2)c1)N1c2ccccc2-n2cccc2C1c1ccnc(Br)c1F
best_candidate,16,64,16,0,4,-7.5055,Nc1cc(C(=O)N(c2ccc(N)c(O)n2)c2cccc3cc[nH]c23)ccc1O
best_candidate,17,68,17,0,4,-7.4951,Nc1ccc(C(=O)N(c2ccc(O)c(N)c2)c2cccc(I)c2O)cc1N
best_candidate,18,72,18,0,4,-7.4929,Nc1ccc(C(=O)N(c2nc3ccccc3[nH]2)c2cccc(Cl)c2O)cc1N
