strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,21,1,3862,1,-11.2,CC(N)c1ccccc1
hub_batching,2,22,2,3862,1,-9.9,CC(N)c1ccccc1
hub_batching,3,23,3,3862,1,-9.8,CC(N)c1ccccc1
hub_batching,4,24,4,3862,1,-9.6,CC(N)c1ccccc1
hub_batching,5,25,5,3862,1,-9.5,CC(N)c1ccccc1
hub_batching,6,26,6,3862,1,-9.3,CC(N)c1ccccc1
hub_batching,7,27,7,3862,1,-9.3,CC(N)c1ccccc1
hub_batching,8,28,8,3862,1,-9.3,CC(N)c1ccccc1
hub_batching,9,29,9,3862,1,-9.2,CC(N)c1ccccc1
hub_batching,10,30,10,3862,1,-9.2,CC(N)c1ccccc1
hub_batching,11,31,11,3862,1,-9.2,CC(N)c1ccccc1
hub_batching,12,32,12,3862,1,-9.1,CC(N)c1ccccc1
hub_batching,13,33,13,3862,1,-9.1,CC(N)c1ccccc1
hub_batching,14,34,14,3862,1,-9.1,CC(N)c1ccccc1
hub_batching,15,35,15,3862,1,-9.0,CC(N)c1ccccc1
hub_batching,16,36,16,3862,1,-9.0,CC(N)c1ccccc1
hub_batching,17,37,17,3862,1,-8.8,CC(N)c1ccccc1
hub_batching,18,38,18,3862,1,-8.8,CC(N)c1ccccc1
hub_batching,19,39,19,3862,1,-8.7,CC(N)c1ccccc1
hub_batching,20,40,20,3862,1,-8.6,CC(N)c1ccccc1
hub_batching,21,41,21,3862,1,-8.6,CC(N)c1ccccc1
hub_batching,22,42,22,3862,1,-8.6,CC(N)c1ccccc1
hub_batching,23,43,23,3862,1,-8.5,CC(N)c1ccccc1
hub_batching,24,44,24,3862,1,-8.5,CC(N)c1ccccc1
hub_batching,25,45,25,3862,1,-8.5,CC(N)c1ccccc1
hub_batching,26,46,26,3862,1,-8.5,CC(N)c1ccccc1
hub_batching,27,47,27,3862,1,-8.4,CC(N)c1ccccc1
hub_batching,28,48,28,3862,1,-8.4,CC(N)c1ccccc1
hub_batching,29,49,29,3862,1,-8.4,CC(N)c1ccccc1
hub_batching,30,50,30,3862,1,-8.4,CC(N)c1ccccc1
hub_batching,31,51,31,3862,1,-8.4,CC(N)c1ccccc1
hub_batching,32,52,32,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,33,53,33,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,34,54,34,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,35,55,35,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,36,56,36,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,37,57,37,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,38,58,38,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,39,59,39,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,40,60,40,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,41,61,41,3862,1,-8.3,CC(N)c1ccccc1
hub_batching,42,62,42,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,43,63,43,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,44,64,44,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,45,65,45,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,46,66,46,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,47,67,47,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,48,68,48,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,49,69,49,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,50,70,50,3862,1,-8.2,CC(N)c1ccccc1
hub_batching,51,71,51,3862,1,-8.1,CC(N)c1ccccc1
hub_batching,52,72,52,3862,1,-8.1,CC(N)c1ccccc1
hub_batching,53,73,53,3862,1,-8.1,CC(N)c1ccccc1
hub_batching,54,74,54,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,55,75,55,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,56,76,56,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,57,77,57,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,58,78,58,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,59,79,59,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,60,80,60,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,61,81,61,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,62,82,62,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,63,83,63,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,64,84,64,3862,1,-8.0,CC(N)c1ccccc1
hub_batching,65,87,65,6292,3,-13.5,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,66,88,66,6292,1,-13.5,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,67,89,67,6292,1,-13.1,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,68,90,68,6292,1,-12.9,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,69,91,69,6292,1,-12.2,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,70,92,70,6292,1,-11.7,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,71,93,71,6292,1,-10.9,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,72,94,72,6292,1,-10.9,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,73,95,73,6292,1,-10.7,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,74,96,74,6292,1,-10.5,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,75,97,75,6292,1,-10.4,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,76,98,76,6292,1,-9.1,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,77,99,77,6292,1,-8.7,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,78,100,78,6292,1,-8.1,Cc1cc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)ccc1F
hub_batching,79,102,79,12558,2,-13.5,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,80,103,80,12558,1,-11.8,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,81,104,81,12558,1,-11.1,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,82,105,82,12558,1,-11.0,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,83,106,83,12558,1,-10.3,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,84,107,84,12558,1,-10.0,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,85,108,85,12558,1,-9.9,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,86,109,86,12558,1,-9.9,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,87,110,87,12558,1,-9.8,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,88,111,88,12558,1,-9.8,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,89,112,89,12558,1,-9.7,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,90,113,90,12558,1,-9.6,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,91,114,91,12558,1,-9.6,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,92,115,92,12558,1,-9.5,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,93,116,93,12558,1,-9.5,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,94,117,94,12558,1,-9.5,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,95,118,95,12558,1,-9.4,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,96,119,96,12558,1,-9.0,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,97,120,97,12558,1,-8.9,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,98,121,98,12558,1,-8.9,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,99,122,99,12558,1,-8.8,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,100,123,100,12558,1,-8.8,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,101,124,101,12558,1,-8.5,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,102,125,102,12558,1,-8.4,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,103,126,103,12558,1,-8.4,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,104,127,104,12558,1,-8.3,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,105,128,105,12558,1,-8.2,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,106,129,106,12558,1,-8.1,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,107,130,107,12558,1,-8.1,CC(Nc1cccc(C=O)c1)c1ccccc1
hub_batching,108,134,108,13494,4,-13.7,FC(F)(F)c1ccc2[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cccc(Br)c4)N3C3CCNC3)nc2c1
hub_batching,109,135,109,13494,1,-11.5,FC(F)(F)c1ccc2[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cccc(Br)c4)N3C3CCNC3)nc2c1
hub_batching,110,136,110,13494,1,-10.9,FC(F)(F)c1ccc2[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cccc(Br)c4)N3C3CCNC3)nc2c1
hub_batching,111,137,111,13494,1,-10.3,FC(F)(F)c1ccc2[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cccc(Br)c4)N3C3CCNC3)nc2c1
