strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,1.0,Brc1ccc2c(CN(CCc3ccccc3Br)C3CCC3)c[nH]c2c1
best_candidate,2,6,2,0,3,1.0,O=CCCN(CCc1ccc(O)cc1)C1CNC1
best_candidate,3,10,3,0,4,1.0,Oc1ccc(CCNCCCN(Cc2c[nH]c3cc(Br)ccc23)C2CC2)cc1
best_candidate,4,14,4,0,4,1.0,CCCN(CC1NCCc2ccc(O)cc21)C1CC1
best_candidate,5,18,5,0,4,1.0,NCCN1CCc2ccccc2C1CNC1CCC1
best_candidate,6,22,6,0,4,1.0,CCC1NCCc2c1cccc2N1CCN(CCC=O)CC1
best_candidate,7,26,7,0,4,1.0,COc1ccccc1CCN(CC1CCN1Cc1c[nH]c2ccc(Br)cc12)C1CNC1
best_candidate,8,30,8,0,4,1.0,COc1cccc2c1CCN(CCN)C2CCNC1CC1
best_candidate,9,34,9,0,4,1.0,CCC1c2cccc(OC)c2CCN1CCCNCc1c[nH]c2cc(Br)ccc12
best_candidate,10,37,10,0,3,1.0,CCCN1CCCC1CNCCc1ccccc1OC
best_candidate,11,41,11,0,4,1.0,CNCCN(CCN1CCCCC1)c1ccccc1S
best_candidate,12,44,12,0,3,1.0,CCCN(CCc1ccccc1OC)C1CNC1
best_candidate,13,48,13,0,4,1.0,COc1cccc2c1CCNC2CN1CCCC(Nc2ccc(Br)cc2O)C1
best_candidate,14,52,14,0,4,1.0,C#Cc1ccccc1CCN(CCC)C1CNC1
best_candidate,15,56,15,0,4,1.0,CCCN1CCCC1C(=O)O
best_candidate,16,60,16,0,4,1.0,COc1cccc2c1CCN(C1CCCN(CCN)C1)C2c1c[nH]c2ccc(Br)cc12
best_candidate,17,63,17,0,3,1.0,CCC1c2cc(O)ccc2CCN1C1CCNCC1
best_candidate,18,67,18,0,4,1.0,OCC1CCCN1CCC1c2ccccc2CCN1Cc1c[nH]c2cc(Br)ccc12
best_candidate,19,71,19,0,4,1.0,CN(CC(=O)O)C1CCC1
best_candidate,20,75,20,0,4,1.0,COc1ccccc1CCN(CCCNCCN)C1CCC1
best_candidate,21,79,21,0,4,1.0,Oc1ccc2c(c1)C(c1c[nH]c3cc(Br)ccc13)N(CCCNC1CCC1)CC2
best_candidate,22,82,22,0,3,1.0,COc1cccc2c1CCNC2CCN1CCCCC1
best_candidate,23,85,23,0,3,1.0,C=CC1c2cccc(OC)c2CCN1CC1CCN1
best_candidate,24,89,24,0,4,1.0,Oc1ccc2c(c1)C(c1c[nH]c3ccc(Br)cc13)N(CC1CCCN1C1CNC1)CC2
best_candidate,25,93,25,0,4,1.0,CCCN1CCC1CN1CCc2ccc(O)cc2C1c1c[nH]c2cc(Br)ccc12
best_candidate,26,97,26,0,4,1.0,NCCCN(CCNc1ccc(Br)cc1)CC1CCN1
best_candidate,27,101,27,0,4,1.0,COc1ccccc1CCN(CCC=O)Cc1c[nH]c2ccc(Cl)cc12
best_candidate,28,105,28,0,4,1.0,CCC1c2cccc(OC)c2CCN1C1CN(Cc2c[nH]c3ccc(Br)cc23)C1
best_candidate,29,109,29,0,4,1.0,NCCc1ccccc1N1CCN(CC2CCN(Cc3c[nH]c4cc(Br)ccc34)CC2)CC1
best_candidate,30,113,30,0,4,1.0,COc1ccccc1CCN(Cc1c[nH]c2cc(Br)ccc12)C1CCCN(CCN)C1
best_candidate,31,117,31,0,4,1.0,NCCc1ccccc1NCCCN(CCBr)C1CC1
best_candidate,32,121,32,0,4,1.0,Brc1ccc2[nH]cc(C3c4ccccc4CCN3C3CCCN(C4CNC4)C3)c2c1
best_candidate,33,124,33,0,3,1.0,Fc1ccc(C(CCl)N(Cc2c[nH]c3cc(Br)ccc23)C2CC2)cc1
best_candidate,34,128,34,0,4,1.0,Sc1ccccc1NCCN(CC1CCN1)C1CCC1
best_candidate,35,131,35,0,3,1.0,COc1ccccc1CCNCC1CCCN1C1CNC1
best_candidate,36,134,36,0,3,1.0,Oc1ccc2[nH]cc(CCN(Cc3ccc(F)cc3)CC3CCCN3)c2c1
best_candidate,37,138,37,0,4,1.0,COc1cccc2c1CCN(CC1CCN1CCCN)C2c1c[nH]c2ccc(Br)cc12
best_candidate,38,142,38,0,4,1.0,Brc1ccc2[nH]cc(C3c4cccc(Br)c4CCN3C3CCN(C4CNC4)CC3)c2c1
