strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,5,1,0,5,8.4756,c1cc(-c2cc(-c3cc[nH]n3)c[nH]2)cc(C2CCC(c3ccc4ccccc4c3)OC2)c1
best_candidate,2,10,2,0,5,8.3969,c1cc(-c2cc(-c3ccnc(C4CCCN4)c3)[nH]n2)cc(C2CCCOC2)c1
best_candidate,3,15,3,0,5,8.391,O=C(NCc1ccc(C2CCC(c3ccc4ccccc4c3)OC2)nc1)c1cc[nH]n1
best_candidate,4,20,4,0,5,8.3866,c1cc(-c2ccc(-c3c[nH]c(C4CCCN4)c3)s2)cc(C2CCCCO2)c1
best_candidate,5,25,5,0,5,8.3782,c1cc(-c2c[nH]c(-c3cccc(C4CCCOC4)n3)c2)cc(C2CCNC2)c1
best_candidate,6,30,6,0,5,8.3375,c1c[nH+]cc(-c2cc(-c3c[nH]c(C4CCC(c5ccc6ccccc6c5)OC4)c3)[nH]n2)c1
best_candidate,7,35,7,0,5,8.3288,O=C(NCc1ccc(-c2ccc3ccccc3c2)cc1)c1cc(C2CCCCO2)[nH]n1
best_candidate,8,40,8,0,5,8.3159,c1cc(-c2c[nH]c(C3CCC(C4CCCN4)OC3)c2)nc(C2CCCOC2)c1
best_candidate,9,45,9,0,5,8.3153,c1cc(-c2cccc(C3CCC(C4CCNC4)O3)c2)cc(C2CCCOC2)c1
best_candidate,10,50,10,0,5,8.3141,c1cc(-c2ccncc2)cc(-c2c[nH]c(C3CCC(c4ccc5ccccc5c4)OC3)c2)c1
best_candidate,11,55,11,0,5,8.3053,O=C(NCc1c[nH]c(-c2ccccn2)c1)N1CCC(C2CCNC2)CC1
best_candidate,12,60,12,0,5,8.2989,C1=CN(c2cc(-c3cc(C4CCC(c5ccc6ccccc6c5)OC4)c[nH]3)[nH]n2)C=CC1
best_candidate,13,65,13,0,5,8.2974,c1ccc(-c2cccc(C3CCC(c4cccc(C5CCNC5)c4)OC3)c2)nc1
best_candidate,14,70,14,0,5,8.2942,O=C(NCc1cc(-c2cccc(-c3ccccc3)c2)ccn1)C1CCNC1
best_candidate,15,75,15,0,5,8.2812,c1ccc(-c2cccc(C3CCC(c4ccc(C5CCCN5)cc4)OC3)c2)nc1
best_candidate,16,80,16,0,5,8.2787,c1cc(C2CCNC2)cc(-c2ccnc(-c3cc(C4CCCOC4)c[nH]3)c2)n1
