strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,1,1,0,1,1.0,O=C1CNC1
best_candidate,2,4,2,0,3,1.0,Oc1ccc2[nH]cc(CCN(c3ccnc(F)c3)C3CCCNC3)c2c1
best_candidate,3,6,3,0,2,1.0,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
best_candidate,4,9,4,0,3,0.9901,CC(OCC(NCCc1c[nH]c2ccc(O)cc12)c1ccc(F)cc1F)C(=O)O
best_candidate,5,11,5,0,2,0.9886,Oc1ccc2c(c1)C(c1ncc[nH]1)NCC2
best_candidate,6,14,6,0,3,0.9801,COc1ccccc1CCNCC(C)OC(=O)c1ccc(F)c(F)c1F
best_candidate,7,17,7,0,3,0.9632,N#Cc1cc(B(O)O)ccc1N(CCc1c[nH]c2ccc(O)cc12)C1CNC1
best_candidate,8,20,8,0,3,0.9615,CCC(N)C(=O)OCC(NCCc1c[nH]c2ccccc12)c1ccc(F)cc1F
best_candidate,9,21,9,0,1,0.958,NCCc1ccc(O)cc1
best_candidate,10,24,10,0,3,0.9578,N#Cc1ccc(N(Cc2ccc(O)cc2)C2CCCNC2)cc1
best_candidate,11,27,11,0,3,0.9553,CCC(CNCCc1c[nH]c2ccc(O)cc12)Nc1cc(C=O)ccn1
best_candidate,12,30,12,0,3,0.951,O=C(Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1)c1ccc(F)c(F)c1F
best_candidate,13,33,13,0,3,0.9433,O=Cc1ccc(N(Cc2ccc(O)cc2)C2CCCNC2)c(C(F)(F)F)c1
best_candidate,14,36,14,0,3,0.9282,CC(OCc1ccccc1CNCCc1c[nH]c2ccc(O)cc12)C(=O)O
best_candidate,15,37,15,0,1,0.928,NCc1cccc(O)c1
best_candidate,16,39,16,0,2,0.9222,Oc1cccc(CNC2CCCNC2)c1
best_candidate,17,42,17,0,3,0.9205,CC(CNCCc1c[nH]c2ccc(O)cc12)OC(=O)c1cccc(B(O)O)c1
best_candidate,18,45,18,0,3,0.9109,O=C(O)c1ccc(N(Cc2cccc(O)c2)C2CCCNC2)cc1
best_candidate,19,47,19,0,2,0.8889,Oc1cccc(CNC2CNC2)c1
best_candidate,20,50,20,0,3,0.8851,N#Cc1ccc(B(O)O)cc1N(Cc1cccc(O)c1)C1CCCNC1
best_candidate,21,53,21,0,3,0.8825,CC(CNCc1c[nH]c2ccccc12)OC(=O)C(N)Cc1ccc(O)cc1
best_candidate,22,54,22,0,1,0.8685,O=Cc1ncc[nH]1
best_candidate,23,57,23,0,3,0.8574,CCC(CNCCc1c[nH]c2ccccc12)Nc1ccc(C(F)(F)F)cn1
best_candidate,24,60,24,0,3,0.8508,CC(OCC(NCCc1c[nH]c2ccccc12)c1ccc(O)c(O)c1)C(=O)O
best_candidate,25,62,25,0,2,0.8121,Oc1ccc(CNC2CCCNC2)cc1
best_candidate,26,65,26,0,3,0.7918,CC(CNCCc1ccc(O)cc1)OC(=O)c1ccc(F)c(B(O)O)c1
best_candidate,27,68,27,0,3,0.7675,CC(OCC(NCCc1ccc(O)cc1)c1ccc(F)cc1)C(=O)O
best_candidate,28,69,28,0,1,0.7515,NCc1ccc(O)cc1
best_candidate,29,72,29,0,3,0.7067,COc1ccccc1CCNCc1ccc(COC(C)C(=O)O)cc1
best_candidate,30,75,30,0,3,0.5971,CCC(CNCCc1ccccc1)Nc1ccc(C#N)cc1C(F)(F)F
best_candidate,31,78,31,0,3,0.5801,CC(C)C(CNCCc1ccc(O)cc1)Nc1cc(C=O)ccn1
best_candidate,32,79,32,0,1,0.5387,Oc1ccc(CNC2CCCNC2)cc1
