strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,2,1,752,2,1.0,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,2,3,2,752,1,0.9918,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,3,4,3,752,1,0.9827,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,4,5,4,752,1,0.9811,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,5,6,5,752,1,0.9756,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,6,7,6,752,1,0.7653,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,7,8,7,752,1,0.5367,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,8,9,8,752,1,0.5284,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,9,10,9,752,1,0.5,Oc1ccc2[nH]cc(CCNC3CCCNC3)c2c1
hub_batching,10,11,10,1608,1,1.0,NCCc1c[nH]c2ccc(O)cc12
hub_batching,11,12,11,1608,1,0.9166,NCCc1c[nH]c2ccc(O)cc12
hub_batching,12,13,12,1608,1,0.9128,NCCc1c[nH]c2ccc(O)cc12
hub_batching,13,14,13,1608,1,0.9085,NCCc1c[nH]c2ccc(O)cc12
hub_batching,14,15,14,1608,1,0.8503,NCCc1c[nH]c2ccc(O)cc12
hub_batching,15,16,15,1608,1,0.8466,NCCc1c[nH]c2ccc(O)cc12
hub_batching,16,17,16,1608,1,0.8052,NCCc1c[nH]c2ccc(O)cc12
hub_batching,17,18,17,1608,1,0.8038,NCCc1c[nH]c2ccc(O)cc12
hub_batching,18,19,18,1608,1,0.7851,NCCc1c[nH]c2ccc(O)cc12
hub_batching,19,20,19,1608,1,0.6801,NCCc1c[nH]c2ccc(O)cc12
hub_batching,20,21,20,1608,1,0.6309,NCCc1c[nH]c2ccc(O)cc12
hub_batching,21,22,21,1608,1,0.6252,NCCc1c[nH]c2ccc(O)cc12
hub_batching,22,23,22,1608,1,0.6197,NCCc1c[nH]c2ccc(O)cc12
hub_batching,23,24,23,1608,1,0.6196,NCCc1c[nH]c2ccc(O)cc12
hub_batching,24,25,24,1608,1,0.5631,NCCc1c[nH]c2ccc(O)cc12
hub_batching,25,26,25,1608,1,0.5373,NCCc1c[nH]c2ccc(O)cc12
hub_batching,26,29,26,2700,3,0.9973,CC(OCC(NCCc1c[nH]c2ccccc12)c1ccc(F)cc1F)C(=O)O
hub_batching,27,30,27,2700,1,0.9628,CC(OCC(NCCc1c[nH]c2ccccc12)c1ccc(F)cc1F)C(=O)O
hub_batching,28,33,28,3562,3,1.0,Oc1ccc2[nH]cc(CCN(c3cccnc3F)C3CCCNC3)c2c1
hub_batching,29,34,29,3562,1,0.9912,Oc1ccc2[nH]cc(CCN(c3cccnc3F)C3CCCNC3)c2c1
hub_batching,30,35,30,3562,1,0.902,Oc1ccc2[nH]cc(CCN(c3cccnc3F)C3CCCNC3)c2c1
hub_batching,31,36,31,3562,1,0.8019,Oc1ccc2[nH]cc(CCN(c3cccnc3F)C3CCCNC3)c2c1
hub_batching,32,37,32,4580,1,0.9097,CCC(N)C(=O)O
hub_batching,33,38,33,4580,1,0.9016,CCC(N)C(=O)O
hub_batching,34,41,34,5336,3,0.9792,N#Cc1ccc(N(Cc2ccc(O)cc2)C2CCCNC2)cc1
hub_batching,35,42,35,5336,1,0.9283,N#Cc1ccc(N(Cc2ccc(O)cc2)C2CCCNC2)cc1
