strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,2,1,0,2,8.0279,N#Cc1ccc(COC2CN3CCC2CC3)cc1
best_candidate,2,5,2,0,3,7.8491,O=C(O)c1ccc(Cn2nnc(-c3cccc(COC4CN5CCC4CC5)c3)n2)cc1
best_candidate,3,7,3,0,2,7.715,N#Cc1cccc(COC2CN3CCC2CC3)c1
best_candidate,4,10,4,0,3,7.6389,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(COC5CN6CCC5CC6)cc4)n3)cc2N1
best_candidate,5,11,5,0,1,7.5895,N#Cc1cccc(COC2CN3CCC2CC3)c1
best_candidate,6,14,6,0,3,7.5794,N#Cc1ccc(Cn2nnc(-c3ccc4[nH]cc(CNC56CC(C5)C6)c4c3)n2)cc1
best_candidate,7,17,7,0,3,7.5055,N#Cc1ccc(Cn2nnc(-c3ccc4[nH]cc(CNCCc5ccccc5)c4c3)n2)cc1
best_candidate,8,20,8,0,3,7.3732,N#Cc1ccccc1Cn1nnc(-c2ccc(NCCc3c[nH]c4ccccc34)nc2)n1
best_candidate,9,23,9,0,3,7.3175,N#Cc1ccc(Cn2nnc(-c3ccc(Cn4nnc(-c5ccc(F)nc5)n4)cc3)n2)cc1
best_candidate,10,26,10,0,3,7.3137,O=C(O)c1ccc(-c2nnn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)n2)nc1
best_candidate,11,29,11,0,3,7.2917,N#Cc1cccc(Cn2nnc(-c3cncc(NCCc4c[nH]c5ccccc45)c3)n2)c1
best_candidate,12,32,12,0,3,7.2806,N#Cc1ccc(Cn2nnnc2-c2ccc3[nH]cc(CNc4ccnc5ccccc45)c3c2)cc1
best_candidate,13,35,13,0,3,7.2569,O=C(O)c1ccc(Cn2nnc(-c3ccc(COC4CN5CCC4CC5)cc3)n2)cc1
best_candidate,14,38,14,0,3,7.2392,O=Cc1c[nH]c2ccc(-c3nnnn3Cc3ccc(-c4nnn(CC5CC5)n4)cc3)cc12
best_candidate,15,41,15,0,3,7.2162,O=C(O)c1ccccc1Cn1nnc(-c2ccc(COC3CN4CCC3CC4)c(F)c2)n1
best_candidate,16,44,16,0,3,7.2151,O=Cc1c[nH]c2ccc(-c3nnn(Cc4ccc(-c5nnn(CC6CC6)n5)cc4)n3)cc12
best_candidate,17,47,17,0,3,7.2112,N#Cc1ccc(F)cc1Cn1nnnc1-c1ccc2[nH]cc(C3NCCc4ccccc43)c2c1
best_candidate,18,50,18,0,3,7.112,N#Cc1ccc(Cn2nnc(-c3ccccc3Cn3nnnc3-c3ccc(F)cc3)n2)cc1
best_candidate,19,53,19,0,3,7.0948,N#Cc1cccc(Cn2nnc(-c3ccc4[nH]cc(CNc5cccc6cc[nH]c56)c4c3)n2)c1
best_candidate,20,56,20,0,3,7.0927,N#Cc1ccc(C(=O)Cn2nnc(-c3cccc(COC4CN5CCC4CC5)c3)n2)cc1
best_candidate,21,59,21,0,3,7.0547,N#Cc1ccccc1Cn1nnc(-c2cncc(Nc3cccc4cc[nH]c34)c2)n1
best_candidate,22,62,22,0,3,7.0368,N#Cc1ccc(Cn2nnc(-c3ccc(COC4CN5CCC4CC5)cc3)n2)cc1
best_candidate,23,65,23,0,3,6.9826,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(COC5CN6CCC5CC6)c(F)c4)n3)cc2N1
best_candidate,24,68,24,0,3,6.929,N#Cc1ccc(Cn2nnc(-c3cccc(Cn4nnnc4-c4ccc(N)c(N)c4)c3)n2)cc1
best_candidate,25,71,25,0,3,6.9284,O=C(O)c1ccc(Cn2nnc(-c3ccccc3COC3CN4CCC3CC4)n2)cc1
best_candidate,26,73,26,0,2,6.9003,N#Cc1ccc(COC2CN3CCC2CC3)c(F)c1
best_candidate,27,74,27,0,1,6.8897,N#Cc1ccc(COC2CN3CCC2CC3)cc1
best_candidate,28,77,28,0,3,6.8786,c1cc2[nH]cc(CNC34CC(C3)C4)c2cc1-c1nnn(CC2CC2)n1
best_candidate,29,80,29,0,3,6.8666,N#Cc1ccc(Cn2nnnc2-c2ccc(Cn3ccc4cccc(N)c43)cc2)cc1
best_candidate,30,83,30,0,3,6.8568,O=Cc1c[nH]c2ccc(-c3nnn(Cc4ccccc4-c4nnn(CC5CC5)n4)n3)cc12
best_candidate,31,86,31,0,3,6.8041,N#Cc1ccc(Cn2nnc(-c3ccc(Cn4nnc(-c5ccc(F)cc5)n4)cc3)n2)cc1
best_candidate,32,89,32,0,3,6.7847,N#Cc1ccccc1Cn1nnc(-c2cccc(Cn3nnc(-c4ccc(CBr)cc4)n3)c2)n1
best_candidate,33,92,33,0,3,6.7842,N#Cc1ccc(Cn2nnnc2-c2ccc(F)cc2Cn2nnnc2-c2ccc(F)nc2)cc1
best_candidate,34,93,34,0,1,6.7766,OC1CN2CCC1CC2
best_candidate,35,96,35,0,3,6.7661,O=Cc1c[nH]c2ccc(-c3nnn(Cc4ccc(-c5nnn(CC6CC6)n5)cc4F)n3)cc12
best_candidate,36,99,36,0,3,6.761,O=C(O)c1ccc(Cn2nnnc2-c2ccc(F)cc2COC2CN3CCC2CC3)cc1
best_candidate,37,100,37,0,1,6.7485,OC1CN2CCC1CC2
best_candidate,38,103,38,0,3,6.7291,Fc1ccc(-c2nnn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)n2)c(CBr)c1
best_candidate,39,106,39,0,3,6.6536,N#Cc1cccc(C(=O)Cn2nnc(-c3ccc(COC4CN5CCC4CC5)cc3)n2)c1
best_candidate,40,109,40,0,3,6.6263,N#Cc1ccc(Cn2nnc(-c3ccccc3Cn3ccc4cccc(N)c43)n2)c(F)c1
