strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,3,1,96,3,7.7857,N#Cc1ccc(Cn2nnc(-c3ccc(COC4CN5CCC4CC5)cc3)n2)c(F)c1
hub_batching,2,5,2,192,2,7.6717,N#Cc1ccc(COC2CN3CCC2CC3)cc1
hub_batching,3,6,3,192,1,7.5651,N#Cc1ccc(COC2CN3CCC2CC3)cc1
hub_batching,4,7,4,192,1,6.5432,N#Cc1ccc(COC2CN3CCC2CC3)cc1
hub_batching,5,9,5,288,2,7.4704,N#Cc1cccc(COC2CN3CCC2CC3)c1
hub_batching,6,10,6,288,1,7.2656,N#Cc1cccc(COC2CN3CCC2CC3)c1
hub_batching,7,13,7,441,3,7.6389,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(COC5CN6CCC5CC6)cc4)n3)cc2N1
hub_batching,8,16,8,885,3,7.7413,O=C(O)c1ccc(Cn2nnc(-c3cccc(COC4CN5CCC4CC5)c3)n2)cc1
hub_batching,9,17,9,885,1,7.6661,O=C(O)c1ccc(Cn2nnc(-c3cccc(COC4CN5CCC4CC5)c3)n2)cc1
hub_batching,10,18,10,885,1,6.8191,O=C(O)c1ccc(Cn2nnc(-c3cccc(COC4CN5CCC4CC5)c3)n2)cc1
hub_batching,11,21,11,1038,3,7.3524,O=C1Cc2ccc(C(=O)Cn3nnc(-c4cccc(COC5CN6CCC5CC6)c4)n3)cc2N1
hub_batching,12,23,12,1134,2,7.6752,N#Cc1ccccc1COC1CN2CCC1CC2
hub_batching,13,24,13,1134,1,6.5004,N#Cc1ccccc1COC1CN2CCC1CC2
hub_batching,14,25,14,1287,1,6.7485,OC1CN2CCC1CC2
hub_batching,15,26,15,1287,1,6.3191,OC1CN2CCC1CC2
hub_batching,16,27,16,1287,1,6.287,OC1CN2CCC1CC2
hub_batching,17,28,17,1287,1,6.2413,OC1CN2CCC1CC2
hub_batching,18,29,18,1287,1,6.1425,OC1CN2CCC1CC2
hub_batching,19,30,19,1287,1,6.1035,OC1CN2CCC1CC2
hub_batching,20,31,20,1287,1,5.5285,OC1CN2CCC1CC2
hub_batching,21,32,21,1287,1,5.4665,OC1CN2CCC1CC2
hub_batching,22,33,22,1287,1,5.3092,OC1CN2CCC1CC2
hub_batching,23,35,23,1383,2,7.0807,N#Cc1ccc(COC2CN3CCC2CC3)c(F)c1
hub_batching,24,36,24,1383,1,6.6172,N#Cc1ccc(COC2CN3CCC2CC3)c(F)c1
hub_batching,25,39,25,1827,3,7.912,O=C(O)c1ccc(Cn2nnc(-c3ccc(COC4CN5CCC4CC5)cc3)n2)cc1
hub_batching,26,40,26,1827,1,7.8005,O=C(O)c1ccc(Cn2nnc(-c3ccc(COC4CN5CCC4CC5)cc3)n2)cc1
hub_batching,27,41,27,1827,1,7.45,O=C(O)c1ccc(Cn2nnc(-c3ccc(COC4CN5CCC4CC5)cc3)n2)cc1
hub_batching,28,42,28,1827,1,6.3237,O=C(O)c1ccc(Cn2nnc(-c3ccc(COC4CN5CCC4CC5)cc3)n2)cc1
hub_batching,29,44,29,2132,2,6.888,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,30,45,30,2132,1,6.8256,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,31,46,31,2132,1,6.1531,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,32,47,32,2132,1,5.8793,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,33,48,33,2132,1,5.8216,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,34,49,34,2132,1,5.6804,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,35,50,35,2132,1,5.6495,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,36,51,36,2132,1,5.6304,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,37,52,37,2132,1,5.5574,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,38,53,38,2132,1,5.4511,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,39,54,39,2132,1,5.3831,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,40,55,40,2132,1,5.3006,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,41,56,41,2132,1,5.0083,N#Cc1ccc(Cn2nnc(-c3ccc(CBr)cc3)n2)cc1
hub_batching,42,58,42,2228,2,6.4785,N#Cc1ccc(Cn2nnc(-c3ccc(F)cc3)n2)cc1
hub_batching,43,59,43,2228,1,5.7108,N#Cc1ccc(Cn2nnc(-c3ccc(F)cc3)n2)cc1
hub_batching,44,60,44,2228,1,5.5008,N#Cc1ccc(Cn2nnc(-c3ccc(F)cc3)n2)cc1
