strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,8.4038,c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1
best_candidate,2,8,2,0,4,8.3961,C#Cc1ccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)cc1
best_candidate,3,12,3,0,4,8.3934,c1ccc2c(CNc3ccc4[nH]c(-c5ccc(COC6CN7CCC6CC7)cc5)nc4c3)c[nH]c2c1
best_candidate,4,16,4,0,4,8.3563,O=C(O)c1ccc2nc(-c3ccc(C(=O)NCc4cn(CC5CC5)c5ccccc45)cc3)oc2c1
best_candidate,5,20,5,0,4,8.3515,O=C(Nc1ccc(Br)cc1)C1CNC1
best_candidate,6,24,6,0,4,8.333,NCc1cn(CC2CC2)c2ccccc12
best_candidate,7,28,7,0,4,8.3276,c1ccc2c(CNc3ccc(-c4cn(CC5CC5)nn4)cc3)c[nH]c2c1
best_candidate,8,31,8,0,3,8.3265,OC1CN2CCC1CC2
best_candidate,9,35,9,0,4,8.3189,c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2c[nH]cn2)c1
best_candidate,10,39,10,0,4,8.3151,Brc1cn(CC2CC2)cn1
best_candidate,11,43,11,0,4,8.3127,O=C(O)c1ccc2nc(C3CNC3)oc2c1
best_candidate,12,47,12,0,4,8.3103,
best_candidate,13,51,13,0,4,8.3087,
best_candidate,14,53,14,0,2,8.3047,NCc1cn(CC2CC2)c2ccccc12
best_candidate,15,57,15,0,4,8.3045,C#Cc1ccc(NCc2ccc(C3=NCCc4ccccc43)cc2)cc1
best_candidate,16,60,16,0,3,8.3032,O=C(Nc1cc(-c2ccc3[nH]ccc3c2)n[nH]1)C1CNC1
best_candidate,17,63,17,0,3,8.2981,
best_candidate,18,67,18,0,4,8.2931,c1nc(-c2ccc(NCc3ccc4[nH]c(C5CCN5)nc4c3)nc2)c[nH]1
best_candidate,19,70,19,0,3,8.2869,O=C(O)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1
best_candidate,20,74,20,0,4,8.2825,OB(O)c1ccc2c(ccn2CC2CC2)c1
best_candidate,21,78,21,0,4,8.28,
best_candidate,22,82,22,0,4,8.2772,c1nc(-c2ccc(NCc3ccc(COC4CN5CCC4CC5)cc3)cc2)c[nH]1
best_candidate,23,86,23,0,4,8.2765,O=C(NC1CC1)c1cccc(-c2nc3cc(Br)ccc3[nH]2)c1
best_candidate,24,90,24,0,4,8.2763,Nc1cccc2ccn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c12
best_candidate,25,93,25,0,3,8.2753,Nc1cc(CNc2cccc(-c3cncc(-c4nnn(CC5CC5)n4)c3)c2)ccc1O
best_candidate,26,96,26,0,3,8.2715,Nc1ccc(-c2cc(NCC3Cc4ccccc4CN3)[nH]n2)cc1
best_candidate,27,99,27,0,3,8.2656,NCCc1cn(CC2CC2)c2ccccc12
best_candidate,28,103,28,0,4,8.2651,O=Cc1cn(CC2CC2)c2ccccc12
best_candidate,29,105,29,0,2,8.2595,Nc1cc(-c2nnnn2Cc2ccc(-c3nnn(CC4CC4)n3)cc2)ccc1O
best_candidate,30,109,30,0,4,8.2536,C#Cc1ccc(NCc2c[nH]c3ccc(-c4nnn(CC5CC5)n4)cc23)cc1
best_candidate,31,113,31,0,4,8.2528,
best_candidate,32,116,32,0,3,8.2489,Brc1cc(NCC2Cc3ccccc3CN2)[nH]n1
best_candidate,33,119,33,0,3,8.247,O=C(O)c1ccc2nc(C3CNC3)[nH]c2c1
best_candidate,34,123,34,0,4,8.2461,N#Cc1cccc(-c2ccc(NCc3cccc(C4=NCCc5ccccc54)c3)cc2)c1
best_candidate,35,127,35,0,4,8.2432,C#Cc1ccc(NCc2cccc(C(=O)NC3CC3)c2)cc1
best_candidate,36,130,36,0,3,8.2352,Brc1cccc(-c2nc3cc(-c4nnn(CC5CC5)n4)ccc3o2)c1
best_candidate,37,133,37,0,3,8.2338,OB(O)c1ccc(NCc2cccc(-c3nc4ccccc4o3)c2)cc1
best_candidate,38,137,38,0,4,8.2326,O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1
best_candidate,39,140,39,0,3,8.2324,OB(O)c1cccc(NCc2ccc3[nH]c(-c4ccc(COC5CN6CCC5CC6)cc4)nc3c2)c1
best_candidate,40,144,40,0,4,8.2317,Nc1ccc(C(=O)NCc2nc3cc(-c4nnn(CC5CC5)n4)ccc3o2)cc1N
best_candidate,41,148,41,0,4,8.2307,Nc1cccc(-c2cc(NC(=O)c3ccc(COC4CN5CCC4CC5)cc3)[nH]n2)c1
best_candidate,42,150,42,0,2,8.2257,Brc1ccc2c(C3NCCc4ccccc43)c[nH]c2c1
best_candidate,43,154,43,0,4,8.2214,N#Cc1ccc(NCc2ccc(C(=O)NC3CC3)cc2)cc1
best_candidate,44,156,44,0,2,8.221,O=Cc1cccc(C2=NCCc3ccccc32)c1
best_candidate,45,160,45,0,4,8.2183,O=C(Nc1cccc2cc[nH]c12)c1cccc(-c2cc(NC(=O)C3CNC3)[nH]n2)c1
best_candidate,46,164,46,0,4,8.2171,O=C(NCc1c[nH]c2ccccc12)c1cccc(-c2cc(C3NCCc4ccccc43)ccn2)c1
best_candidate,47,168,47,0,4,8.2167,O=C(O)c1cccc2oc(C3CCN3)nc12
best_candidate,48,170,48,0,2,8.2138,
best_candidate,49,174,49,0,4,8.2076,O=C(c1ccc(CCl)cc1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccnc2ccccc12
best_candidate,50,178,50,0,4,8.2068,Nc1ccc(-c2nc(-c3cccc(-c4nnn(CC5CC5)n4)c3)cs2)cc1
best_candidate,51,181,51,0,3,8.2058,
best_candidate,52,184,52,0,3,8.2051,Nc1ccc2[nH]c(C3CCNCC3)nc2c1
best_candidate,53,188,53,0,4,8.205,
best_candidate,54,191,54,0,3,8.2046,CC1(C)OB(c2ccc(NCc3ccc4nc(C5CNC5)oc4c3)nc2)OC1(C)C
