set,cutoff,n_above_cutoff,frac_above_cutoff,n_scored,n_replicates,subsampled,mean_pairwise_similarity,mean_pairwise_similarity_sd,modes_per_mol,modes_per_mol_sd,butina_per_mol,butina_per_mol_sd,scaffolds_per_mol,scaffolds_per_mol_sd
sample,1.0,26068,0.9999616402623807,2500,3,True,0.1685691905996147,0.0004269997363559316,0.9450666666666666,0.004201587001757033,0.9404,0.0032741411087490197,0.9972,0.00040000000000001146
sample,2.0,26051,0.999309524722851,2500,3,True,0.16858879454677247,0.0004315321709406914,0.9449333333333333,0.004006661120351131,0.9402666666666667,0.0031069813860616245,0.9972,0.00040000000000001146
sample,3.0,26017,0.9980052936437914,2500,3,True,0.1686440335602658,0.00042281518735544626,0.9448,0.0040000000000000036,0.9401333333333333,0.0030550504633038962,0.9972,0.00040000000000001146
sample,4.0,25975,0.9963941846637769,2500,3,True,0.16868578249932634,0.00044408397069149453,0.9448,0.0040000000000000036,0.94,0.0028844410203712123,0.9972,0.00040000000000001146
sample,4.1,25969,0.9961640262380606,2500,3,True,0.16868971364845095,0.00043825384344715727,0.9448,0.0040000000000000036,0.94,0.0028844410203712123,0.9972,0.00040000000000001146
sample,4.2,25963,0.9959338678123442,2500,3,True,0.16871230388061953,0.00040073967874649667,0.9446666666666667,0.003801753981168893,0.9398666666666666,0.002722743714221612,0.9972,0.00040000000000001146
sample,4.3,25953,0.9955502704361502,2500,3,True,0.16875388785336,0.0003653523604721482,0.9448,0.0040000000000000036,0.94,0.0028844410203712123,0.9972,0.00040000000000001146
sample,4.4,25947,0.9953201120104338,2500,3,True,0.16876481232400417,0.0003762706906769472,0.9448,0.0040000000000000036,0.94,0.0028844410203712123,0.9972,0.00040000000000001146
sample,4.5,25933,0.9947830756837623,2500,3,True,0.16885006703314842,0.00036214794354491283,0.9446666666666667,0.004201587001756976,0.9397333333333333,0.0033306655991457833,0.9972,0.00040000000000001146
sample,4.6,25926,0.9945145575204266,2500,3,True,0.16888116332881423,0.00031192384234992834,0.9446666666666667,0.004201587001756976,0.9397333333333333,0.0033306655991457833,0.9972,0.00040000000000001146
sample,4.7,25917,0.994169319881852,2500,3,True,0.16892049895098216,0.00033774045400160297,0.9446666666666667,0.004201587001756976,0.9397333333333333,0.0033306655991457833,0.9972,0.00040000000000001146
sample,4.8,25904,0.9936706432927999,2500,3,True,0.16893426092628053,0.00036598529332793945,0.9445333333333333,0.004201587001756976,0.9396,0.0032741411087489586,0.9972,0.00040000000000001146
sample,4.9,25891,0.9931719667037477,2500,3,True,0.1690269778669371,0.00029671179277704243,0.9443999999999999,0.004214261501141132,0.9394666666666667,0.003401960219246135,0.9972,0.00040000000000001146
sample,5.0,25878,0.9926732901146956,2500,3,True,0.16903084025003032,0.0002965338692886181,0.9443999999999999,0.004214261501141132,0.9394666666666667,0.003401960219246135,0.9972,0.00040000000000001146
sample,5.1,25865,0.9921746135256435,2500,3,True,0.16907081399725213,0.00034916598266534815,0.9443999999999999,0.004214261501141132,0.9394666666666667,0.003401960219246135,0.9972,0.00040000000000001146
sample,5.2,25848,0.9915224979861138,2500,3,True,0.16912451941629228,0.0003680779844170671,0.9443999999999999,0.004214261501141132,0.9394666666666667,0.003401960219246135,0.9972,0.00040000000000001146
sample,5.3,25817,0.9903333461199125,2500,3,True,0.1691969965576721,0.0004710207432787005,0.9443999999999999,0.004214261501141132,0.9394666666666667,0.003401960219246135,0.9972,0.00040000000000001146
sample,5.4,25795,0.9894894318922859,2500,3,True,0.1692288321779066,0.0005102924673915861,0.9443999999999999,0.004214261501141132,0.9394666666666667,0.003401960219246135,0.9972,0.00040000000000001146
sample,5.5,25754,0.9879166826498906,2500,3,True,0.16934005338619884,0.0005673873522278277,0.944,0.004613025037868311,0.9390666666666666,0.0037806525010020894,0.9972,0.00040000000000001146
sample,5.6,25699,0.9858068970808239,2500,3,True,0.16951550271402915,0.0005457335546237436,0.9436,0.0043999999999999595,0.9386666666666666,0.003494757979221657,0.9972,0.00040000000000001146
sample,5.7,25640,0.9835436725612797,2500,3,True,0.16962895255857333,0.000632553907335054,0.9433333333333334,0.004201587001756976,0.9384,0.0032741411087490197,0.9972,0.00040000000000001146
sample,5.8,25577,0.9811270090912578,2500,3,True,0.16975736919699647,0.0006113867839883499,0.9430666666666667,0.004006661120351131,0.9381333333333334,0.0030550504633038962,0.9972,0.00040000000000001146
sample,5.9,25497,0.9780582300817062,2500,3,True,0.1698917635682821,0.0006521587623460313,0.9429333333333334,0.004026578365477739,0.9380000000000001,0.0030199337741083055,0.9972,0.00040000000000001146
sample,6.0,25372,0.9732632628792819,2500,3,True,0.1701333967502888,0.0006740557389566423,0.9426666666666667,0.003843609414773195,0.9377333333333334,0.0026633312473917556,0.9972,0.00040000000000001146
